chamber,date,gas,flux,units,soil_moisture,soil_temperature,estimate,p.value,transect,ecosystem,rep
BP-1,2022-09-24,co2,1.7686497916264052,umol_m2_s1,14.5,16.1,15.1108333115003,6.227406689380063e-4,high,BP,1
BP-2,2022-09-24,co2,2.597013472605466,umol_m2_s1,17,15.9,22.382160244606307,2.8704521986033517e-5,high,BP,2
BP-3,2022-09-24,co2,2.7843458932484086,umol_m2_s1,14.5,16.2,22.57775320423277,2.2805522766996893e-5,high,BP,3
BP-4,2022-09-24,co2,2.7349852777142467,umol_m2_s1,14.1,15.8,23.727169052495036,1.6902017575967746e-4,high,BP,4
BP-5,2022-09-24,co2,2.6729479835450243,umol_m2_s1,18.9,16.4,24.60312282576578,2.8343933237205443e-4,mid,BP,5
BP-6,2022-09-24,co2,2.902833695589377,umol_m2_s1,19.9,16.3,23.46713293515342,9.821212236468317e-5,mid,BP,6
BP-7,2022-09-24,co2,2.0094008559813283,umol_m2_s1,20.3,16,17.37181662757452,0.00108982007530117,mid,BP,7
BP-8,2022-09-24,co2,2.689738192555691,umol_m2_s1,22.2,16.1,23.43674716787469,1.6827466199842114e-4,mid,BP,8
BP-9,2022-09-24,co2,3.597229565831088,umol_m2_s1,17,16.3,26.361289587243203,3.1699622074858987e-4,low,BP,9
BP-10,2022-09-24,co2,3.2682446258916564,umol_m2_s1,17.7,16.3,23.009369677013964,1.1366438364363808e-5,low,BP,10
BP-11,2022-09-24,co2,3.280770717019029,umol_m2_s1,21.6,16.1,23.90499801634834,4.528843684877998e-5,low,BP,11
BP-12,2022-09-24,co2,3.247463959236676,umol_m2_s1,19.7,16.2,23.52981753677488,1.138268137407548e-4,low,BP,12
EW-1,2022-09-24,co2,1.7152156660091675,umol_m2_s1,5.2,15.9,17.343128632691393,8.898397471567829e-5,high,EW,1
EW-2,2022-09-24,co2,0.7295242671492074,umol_m2_s1,6.6,16.1,8.145882058657868,0.00147376662909233,high,EW,2
EW-3,2022-09-24,co2,1.1612498323870677,umol_m2_s1,6.1,16.2,13.015451407736958,4.53335855590976e-6,high,EW,3
EW-4,2022-09-24,co2,2.233141812646898,umol_m2_s1,3.9,16.5,22.9890840351571,8.18226191488062e-5,high,EW,4
EW-5,2022-09-24,co2,1.868684250386244,umol_m2_s1,5,16.7,19.56357938503445,3.6051990072027534e-4,mid,EW,5
EW-6,2022-09-24,co2,1.4400437902485688,umol_m2_s1,6.8,16.3,14.553938799757953,6.014319099890948e-5,mid,EW,6
EW-7,2022-09-24,co2,1.3047196742628733,umol_m2_s1,10.6,16.8,16.568954191848427,2.599777721822305e-4,mid,EW,7
EW-8,2022-09-24,co2,1.3846119860647452,umol_m2_s1,4.7,16.8,12.09897518770653,4.7319013037924306e-4,mid,EW,8
EW-9,2022-09-24,co2,1.5093235701544188,umol_m2_s1,6.6,17.6,13.90596853282204,9.470977474592128e-4,low,EW,9
EW-10,2022-09-24,co2,1.9063014745777984,umol_m2_s1,6.3,17.2,17.58749033625105,1.1124074585343892e-4,low,EW,10
EW-11,2022-09-24,co2,1.906162554686926,umol_m2_s1,9.2,17,17.85479713883019,9.812735272960498e-5,low,EW,11
EW-12,2022-09-24,co2,2.3768670250699775,umol_m2_s1,2.1,17.6,20.8724500996794,9.719496771695751e-6,low,EW,12
NW-1,2022-09-24,co2,2.219220588772386,umol_m2_s1,9.7,18.4,17.907978017022494,1.031611771106932e-4,high,NW,1
NW-2,2022-09-24,co2,2.3895405123228852,umol_m2_s1,8.1,18.4,19.067530136634264,3.383620007105988e-4,high,NW,2
NW-3,2022-09-24,co2,2.6325616672786656,umol_m2_s1,11.7,18.6,22.31015612949088,0.00100254714034956,high,NW,3
NW-4,2022-09-24,co2,2.4626614471453085,umol_m2_s1,12.8,18.3,22.04383065461705,3.457283523542393e-4,high,NW,4
NW-5,2022-09-24,co2,2.2508826124403867,umol_m2_s1,3.3,19.6,20.029831496140865,5.541193659556244e-5,mid,NW,5
NW-6,2022-09-24,co2,2.27661593852199,umol_m2_s1,7.3,19.2,22.512947970615848,1.434058364536901e-4,mid,NW,6
NW-7,2022-09-24,co2,2.2213913112629196,umol_m2_s1,8.7,19.2,18.16795124731078,9.859511983689351e-5,mid,NW,7
NW-8,2022-09-24,co2,2.2123518156099884,umol_m2_s1,8,19.2,18.332794002518952,1.0366705624190036e-4,mid,NW,8
NW-9,2022-09-24,co2,1.9300540950623344,umol_m2_s1,7.1,19.3,16.03314492255071,5.288108962736548e-4,low,NW,9
NW-10,2022-09-24,co2,1.5941932562386931,umol_m2_s1,5.3,19.3,15.048991667965552,5.19183069585276e-4,low,NW,10
NW-11,2022-09-24,co2,1.853324858461506,umol_m2_s1,2.5,19.2,16.754047808202507,6.816050408821159e-4,low,NW,11
NW-12,2022-09-24,co2,1.622742269021998,umol_m2_s1,9.9,18.8,15.349657715962197,4.600949908571621e-4,low,NW,12
SP-1,2022-09-24,co2,1.84655488450078,umol_m2_s1,10.4,16.1,14.793434046107468,2.3569811986810175e-4,high,SP,1
SP-2,2022-09-24,co2,1.9151343524464417,umol_m2_s1,10.3,15.8,14.914262903379203,8.667874329336963e-4,high,SP,2
SP-3,2022-09-24,co2,1.8462635633377888,umol_m2_s1,9.7,16.2,13.823886013289828,0.0016686769545763,high,SP,3
SP-4,2022-09-24,co2,0.8054285292208124,umol_m2_s1,11.3,16,6.7864752032715545,0.16174375082151027,high,SP,4
SP-5,2022-09-24,co2,2.086499577427071,umol_m2_s1,11.2,16.3,13.996913982190936,2.31949377365243e-4,mid,SP,5
SP-6,2022-09-24,co2,2.6444386218258615,umol_m2_s1,13.8,16.4,19.65925921598431,7.941460649812636e-5,mid,SP,6
SP-7,2022-09-24,co2,1.631778600725153,umol_m2_s1,13.6,16.4,11.269958146879128,4.580835448350765e-4,mid,SP,7
SP-8,2022-09-24,co2,2.293258513173591,umol_m2_s1,13,16.1,17.283820595029507,5.590894746024983e-5,mid,SP,8
SP-9,2022-09-24,co2,2.644516810419225,umol_m2_s1,16.1,15.4,20.787589333588414,5.672384987248165e-4,low,SP,9
SP-10,2022-09-24,co2,1.907161914895143,umol_m2_s1,16.3,16.4,12.702671320042644,1.8969869684731927e-4,low,SP,10
SP-11,2022-09-24,co2,2.9868325682227135,umol_m2_s1,16.5,16,24.848578486366556,1.7341236161119217e-5,low,SP,11
SP-12,2022-09-24,co2,3.2524645230751243,umol_m2_s1,17,15.9,22.749796637329943,0.00103881271070694,low,SP,12
SW-1,2022-09-24,co2,2.544584026909672,umol_m2_s1,39.2,16.1,18.99171989809424,4.4498697080564705e-4,high,SW,1
SW-2,2022-09-24,co2,1.8570390075593424,umol_m2_s1,40.2,16.2,14.242465095445686,1.105255593680969e-4,high,SW,2
SW-3,2022-09-24,co2,1.7147003404734171,umol_m2_s1,50.6,16.4,14.479335774105095,6.222301371009724e-5,high,SW,3
SW-4,2022-09-24,co2,1.6861899601084336,umol_m2_s1,47.2,16.1,15.201671173992386,5.000179550727186e-4,high,SW,4
SW-5,2022-09-24,co2,2.4351173132500543,umol_m2_s1,23.8,16.3,19.336139603774487,6.114573335917417e-5,mid,SW,5
SW-6,2022-09-24,co2,1.7654104150982042,umol_m2_s1,30.2,16.2,14.594495022535256,2.220676881076775e-5,mid,SW,6
SW-7,2022-09-24,co2,1.8784420513173108,umol_m2_s1,27,16.2,13.748691654109164,3.5234786121844822e-6,mid,SW,7
SW-8,2022-09-24,co2,1.8918806080688864,umol_m2_s1,22.8,15.7,15.412628213197468,9.16293995103343e-6,mid,SW,8
SW-9,2022-09-24,co2,3.3650663260522964,umol_m2_s1,17.7,15.7,29.080442261860156,5.3599344687105274e-5,low,SW,9
SW-10,2022-09-24,co2,2.6198109474389315,umol_m2_s1,18.9,15.5,24.859308985499453,9.648563678725296e-5,low,SW,10
SW-11,2022-09-24,co2,2.02698336935557,umol_m2_s1,24.1,15.6,16.39682522759174,3.8332620887705234e-5,low,SW,11
SW-12,2022-09-24,co2,1.462157350717216,umol_m2_s1,21.9,15.7,13.425138582419368,6.350341827830586e-4,low,SW,12
WW-1,2022-09-24,co2,2.020889712590867,umol_m2_s1,5.9,14.9,21.058156615680947,1.150402504301536e-4,high,WW,1
WW-2,2022-09-24,co2,1.913992398360123,umol_m2_s1,2.9,14.6,18.614222544767195,3.1124615145589264e-4,high,WW,2
WW-3,2022-09-24,co2,1.7793797595211596,umol_m2_s1,5.2,14.9,14.866697125405612,5.338616688655131e-4,high,WW,3
WW-4,2022-09-24,co2,2.3746671771643952,umol_m2_s1,5.4,15,21.34241332418505,5.4138913089332526e-5,high,WW,4
WW-5,2022-09-24,co2,1.3186055301815138,umol_m2_s1,5.5,15.4,10.742055529347745,7.34271336196168e-5,mid,WW,5
WW-6,2022-09-24,co2,1.7003066828276585,umol_m2_s1,7.9,15.3,12.60663581696796,1.9381676998026705e-4,mid,WW,6
WW-7,2022-09-24,co2,2.031580093308657,umol_m2_s1,6.2,15.7,15.592726370372768,0.00143887329716857,mid,WW,7
WW-8,2022-09-24,co2,1.534228227828448,umol_m2_s1,4.4,15.9,11.512665845663212,0.00168610041636889,mid,WW,8
WW-9,2022-09-24,co2,2.388596026322687,umol_m2_s1,5.3,16.1,18.92825967721126,3.241146305318182e-5,low,WW,9
WW-10,2022-09-24,co2,2.0951435796917113,umol_m2_s1,10.5,16.2,16.444903982793544,1.669777578356693e-5,low,WW,10
WW-11,2022-09-24,co2,2.24149341561828,umol_m2_s1,14,15.9,16.825679591002693,1.619097522933603e-4,low,WW,11
WW-12,2022-09-24,co2,1.5855771566633188,umol_m2_s1,7.4,16,13.67930479010345,5.254156880272639e-5,low,WW,12
BP-1,2022-09-24,ch4,-0.7650747509750397,nmol_m2_s1,14.5,16.1,-0.0065365778389572,0.15907238766474263,high,BP,1
BP-2,2022-09-24,ch4,-0.639921768467689,nmol_m2_s1,17,15.9,-0.00551511638924469,0.11422075477296777,high,BP,2
BP-3,2022-09-24,ch4,-0.5187843716383027,nmol_m2_s1,14.5,16.2,-0.00420672788444305,0.3151636992253425,high,BP,3
BP-4,2022-09-24,ch4,-0.6337944119634052,nmol_m2_s1,14.1,15.8,-0.00549843806462844,0.2638757109101115,high,BP,4
BP-5,2022-09-24,ch4,-0.45928739360042115,nmol_m2_s1,18.9,16.4,-0.00422750619414987,0.38715113008251,mid,BP,5
BP-6,2022-09-24,ch4,-0.5308819670767586,nmol_m2_s1,19.9,16.3,-0.0042917641865586,0.4513195112126712,mid,BP,6
BP-7,2022-09-24,ch4,-0.306612391270616,nmol_m2_s1,20.3,16,-0.00265074747083952,0.5770716980164877,mid,BP,7
BP-8,2022-09-24,ch4,-0.5142771117492537,nmol_m2_s1,22.2,16.1,-0.0044810988205658,0.2581179008199687,mid,BP,8
BP-9,2022-09-24,ch4,-0.6003393903367757,nmol_m2_s1,17,16.3,-0.00439941911676145,0.3305189490601038,low,BP,9
BP-10,2022-09-24,ch4,-0.8391343435096327,nmol_m2_s1,17.7,16.3,-0.00590774392024706,0.33616670194731496,low,BP,10
BP-11,2022-09-24,ch4,-1.0727360998440936,nmol_m2_s1,21.6,16.1,-0.00781638113441183,0.14995818101305658,low,BP,11
BP-12,2022-09-24,ch4,-0.9962501154079292,nmol_m2_s1,19.7,16.2,-0.00721842758866198,0.21970880756298455,low,BP,12
EW-1,2022-09-24,ch4,-1.2549409855863949,nmol_m2_s1,5.2,15.9,-0.01268913488302119,0.02047110447542477,high,EW,1
EW-2,2022-09-24,ch4,-1.3497718195702435,nmol_m2_s1,6.6,16.1,-0.01507157820984513,0.02231540996549582,high,EW,2
EW-3,2022-09-24,ch4,-1.9264844248256785,nmol_m2_s1,6.1,16.2,-0.02159230832140436,5.095175178809434e-4,high,EW,3
EW-4,2022-09-24,ch4,-1.6491709560184054,nmol_m2_s1,3.9,16.5,-0.01697739457545245,0.01356510126792062,high,EW,4
EW-5,2022-09-24,ch4,-1.4181366772962292,nmol_m2_s1,5,16.7,-0.01484671873238045,0.01910389185362537,mid,EW,5
EW-6,2022-09-24,ch4,-1.20588280136806,nmol_m2_s1,6.8,16.3,-0.01218736861311837,0.03711392779195151,mid,EW,6
EW-7,2022-09-24,ch4,-1.2242002891541877,nmol_m2_s1,10.6,16.8,-0.015546418830622,0.0136742343039895,mid,EW,7
EW-8,2022-09-24,ch4,-1.6909273221434895,nmol_m2_s1,4.7,16.8,-0.01477561072757641,0.00939934892413725,mid,EW,8
EW-9,2022-09-24,ch4,-1.4746245030488443,nmol_m2_s1,6.6,17.6,-0.01358627291232694,0.06259431032830232,low,EW,9
EW-10,2022-09-24,ch4,-1.7995399520050956,nmol_m2_s1,6.3,17.2,-0.01660251116502803,0.01764050059900111,low,EW,10
EW-11,2022-09-24,ch4,-1.1421854012493495,nmol_m2_s1,9.2,17,-0.01069871432743048,0.03618650967509898,low,EW,11
EW-12,2022-09-24,ch4,-1.4897371525654095,nmol_m2_s1,2.1,17.6,-0.01308212199108805,0.05498656801199177,low,EW,12
NW-1,2022-09-24,ch4,-1.386838427348425,nmol_m2_s1,9.7,18.4,-0.01119107861371094,0.08382745889331514,high,NW,1
NW-2,2022-09-24,ch4,-1.0207345345959578,nmol_m2_s1,8.1,18.4,-0.00814503307206614,0.1630072638156083,high,NW,2
NW-3,2022-09-24,ch4,-0.8496181228578362,nmol_m2_s1,11.7,18.6,-0.00720025411256466,0.06792645952371341,high,NW,3
NW-4,2022-09-24,ch4,-1.1012574956410028,nmol_m2_s1,12.8,18.3,-0.0098576009175676,0.14244698374143175,high,NW,4
NW-5,2022-09-24,ch4,-1.273197157528538,nmol_m2_s1,3.3,19.6,-0.01132974433482925,0.13866724911683856,mid,NW,5
NW-6,2022-09-24,ch4,-1.068066177946331,nmol_m2_s1,7.3,19.2,-0.01056186855517265,0.06344306371523455,mid,NW,6
NW-7,2022-09-24,ch4,-1.3645903695966517,nmol_m2_s1,8.7,19.2,-0.01116048810566697,0.12595580466181674,mid,NW,7
NW-8,2022-09-24,ch4,-1.1900171449623247,nmol_m2_s1,8,19.2,-0.00986115274439063,0.06695026404192435,mid,NW,8
NW-9,2022-09-24,ch4,-1.4596523640822705,nmol_m2_s1,7.1,19.3,-0.01212547251900676,0.03569045030558633,low,NW,9
NW-10,2022-09-24,ch4,-1.3059919408683291,nmol_m2_s1,5.3,19.3,-0.01232840608228927,0.07250492801065672,low,NW,10
NW-11,2022-09-24,ch4,-1.0245942880719872,nmol_m2_s1,2.5,19.2,-0.00926232743709018,0.16418039664989034,low,NW,11
NW-12,2022-09-24,ch4,-1.266704780747883,nmol_m2_s1,9.9,18.8,-0.01198186870634191,0.04095236376184077,low,NW,12
SP-1,2022-09-24,ch4,-0.31075538014788257,nmol_m2_s1,10.4,16.1,-0.00248957626945034,0.28151882936783484,high,SP,1
SP-2,2022-09-24,ch4,-0.5387825609944986,nmol_m2_s1,10.3,15.8,-0.00419581255600323,0.33453002242866475,high,SP,2
SP-3,2022-09-24,ch4,-0.5707161102492762,nmol_m2_s1,9.7,16.2,-0.00427323303709195,0.2942387005962834,high,SP,3
SP-4,2022-09-24,ch4,-0.3986811767761914,nmol_m2_s1,11.3,16,-0.0033592551319485,0.3971065969921256,high,SP,4
SP-5,2022-09-24,ch4,-0.9376716914803348,nmol_m2_s1,11.2,16.3,-0.00629020496873044,0.19317054469244743,mid,SP,5
SP-6,2022-09-24,ch4,-0.7626387102456642,nmol_m2_s1,13.8,16.4,-0.00566960109004593,0.1422870194695477,mid,SP,6
SP-7,2022-09-24,ch4,-0.7398317928527194,nmol_m2_s1,13.6,16.4,-0.00510968420438618,0.17622105422097104,mid,SP,7
SP-8,2022-09-24,ch4,-0.6443778072248266,nmol_m2_s1,13,16.1,-0.0048565438006724,0.2282280188420915,mid,SP,8
SP-9,2022-09-24,ch4,-0.4191961193501356,nmol_m2_s1,16.1,15.4,-0.00329514894552821,0.236077907533017,low,SP,9
SP-10,2022-09-24,ch4,-0.5626643847349149,nmol_m2_s1,16.3,16.4,-0.00374763185388725,0.3884500471756789,low,SP,10
SP-11,2022-09-24,ch4,-0.35545515222303464,nmol_m2_s1,16.5,16,-0.0029571645034168,0.48137024272880063,low,SP,11
SP-12,2022-09-24,ch4,-0.603113010629904,nmol_m2_s1,17,15.9,-0.00421855434357991,0.4289058006403867,low,SP,12
SW-1,2022-09-24,ch4,-0.3455167103970534,nmol_m2_s1,39.2,16.1,-0.0025787934352245,0.5680854478401977,high,SW,1
SW-2,2022-09-24,ch4,-0.10127606975018384,nmol_m2_s1,40.2,16.2,-7.767316047478463e-4,0.8245127218100572,high,SW,2
SW-3,2022-09-24,ch4,0.8403754078558152,nmol_m2_s1,50.6,16.4,0.00709632897330932,0.12681118390416665,high,SW,3
SW-4,2022-09-24,ch4,-0.23578550108727064,nmol_m2_s1,47.2,16.1,-0.0021256997965361,0.5080496640400345,high,SW,4
SW-5,2022-09-24,ch4,-0.9353975028074508,nmol_m2_s1,23.8,16.3,-0.00742755866458316,0.1840101981576864,mid,SW,5
SW-6,2022-09-24,ch4,-0.4418901644575399,nmol_m2_s1,30.2,16.2,-0.00365306772324899,0.5762486125299663,mid,SW,6
SW-7,2022-09-24,ch4,-0.9215144907486102,nmol_m2_s1,27,16.2,-0.00674474817001203,0.17736811844280953,mid,SW,7
SW-8,2022-09-24,ch4,-0.8447247832635264,nmol_m2_s1,22.8,15.7,-0.00688173924474228,0.21934929393782188,mid,SW,8
SW-9,2022-09-24,ch4,-0.9752186223893774,nmol_m2_s1,17.7,15.7,-0.0084277057547199,0.1858681020264852,low,SW,9
SW-10,2022-09-24,ch4,-0.7239038441038048,nmol_m2_s1,18.9,15.5,-0.00686910227394826,0.13505584727780096,low,SW,10
SW-11,2022-09-24,ch4,-0.8501501411698611,nmol_m2_s1,24.1,15.6,-0.00687709800322953,0.08515398864007817,low,SW,11
SW-12,2022-09-24,ch4,-0.8191298003669163,nmol_m2_s1,21.9,15.7,-0.0075210312224749,0.09156274529216914,low,SW,12
WW-1,2022-09-24,ch4,-1.0747354831807858,nmol_m2_s1,5.9,14.9,-0.01119900209508979,0.07534146124999236,high,WW,1
WW-2,2022-09-24,ch4,-1.5395546459132954,nmol_m2_s1,2.9,14.6,-0.01497268893200083,0.01277590945419737,high,WW,2
WW-3,2022-09-24,ch4,-1.5854739068930417,nmol_m2_s1,5.2,14.9,-0.01324661598958246,0.02811061351471947,high,WW,3
WW-4,2022-09-24,ch4,-1.1471609897521555,nmol_m2_s1,5.4,15,-0.01031015387255541,0.09562194272080209,high,WW,4
WW-5,2022-09-24,ch4,-2.006931170462668,nmol_m2_s1,5.5,15.4,-0.01634951892983581,0.02293313482960331,mid,WW,5
WW-6,2022-09-24,ch4,-1.8362102677117649,nmol_m2_s1,7.9,15.3,-0.01361426992095506,0.02050801958551224,mid,WW,6
WW-7,2022-09-24,ch4,-1.5920773357187876,nmol_m2_s1,6.2,15.7,-0.01221946717143951,0.04999873130005791,mid,WW,7
WW-8,2022-09-24,ch4,-1.4287095095010875,nmol_m2_s1,4.4,15.9,-0.0107208659540102,0.03074633702890024,mid,WW,8
WW-9,2022-09-24,ch4,-1.2049598081717907,nmol_m2_s1,5.3,16.1,-0.00954861847643261,0.0320909913253147,low,WW,9
WW-10,2022-09-24,ch4,-1.7749775631771592,nmol_m2_s1,10.5,16.2,-0.01393190227199431,0.02153624235151657,low,WW,10
WW-11,2022-09-24,ch4,-1.3345251960973246,nmol_m2_s1,14,15.9,-0.01001755936430443,0.01602389464958773,low,WW,11
WW-12,2022-09-24,ch4,-1.0049559142160611,nmol_m2_s1,7.4,16,-0.00867009100970393,0.05286107651410195,low,WW,12
BP-1,2022-09-24,n2o,-0.1513863453697921,nmol_m2_s1,14.5,16.1,-0.00129340123824997,0.16371186630514112,high,BP,1
BP-2,2022-09-24,n2o,-0.16099157684488685,nmol_m2_s1,17,15.9,-0.00138749348395141,0.1287993991470723,high,BP,2
BP-3,2022-09-24,n2o,-0.11580210958901914,nmol_m2_s1,14.5,16.2,-9.390181935262636e-4,0.30867980866061095,high,BP,3
BP-4,2022-09-24,n2o,-0.1404003459477648,nmol_m2_s1,14.1,15.8,-0.00121803315377095,0.0710266380008835,high,BP,4
BP-5,2022-09-24,n2o,-0.11960565197951098,nmol_m2_s1,18.9,16.4,-0.00110090902046098,0.06926847932038908,mid,BP,5
BP-6,2022-09-24,n2o,-0.29446550406268807,nmol_m2_s1,19.9,16.3,-0.00238052256977575,0.17977215477610584,mid,BP,6
BP-7,2022-09-24,n2o,-0.13347753515012048,nmol_m2_s1,20.3,16,-0.00115394957538033,0.19835176779364183,mid,BP,7
