chamber,date,gas,flux,units,soil_moisture,soil_temperature,estimate,p.value,transect,ecosystem,rep
BP-1,2022-09-24,co2,1.7686497916264052,umol_m2_s1,14.5,16.1,15.1108333115003,6.227406689380063e-4,high,BP,1
BP-2,2022-09-24,co2,2.597013472605466,umol_m2_s1,17,15.9,22.382160244606307,2.8704521986033517e-5,high,BP,2
BP-3,2022-09-24,co2,2.7843458932484086,umol_m2_s1,14.5,16.2,22.57775320423277,2.2805522766996893e-5,high,BP,3
BP-4,2022-09-24,co2,2.7349852777142467,umol_m2_s1,14.1,15.8,23.727169052495036,1.6902017575967746e-4,high,BP,4
BP-5,2022-09-24,co2,2.6729479835450243,umol_m2_s1,18.9,16.4,24.60312282576578,2.8343933237205443e-4,mid,BP,5
BP-9,2022-09-24,co2,3.597229565831088,umol_m2_s1,17,16.3,26.361289587243203,3.1699622074858987e-4,low,BP,9
EW-1,2022-09-24,co2,1.7152156660091675,umol_m2_s1,5.2,15.9,17.343128632691393,8.898397471567829e-5,high,EW,1
EW-5,2022-09-24,co2,1.868684250386244,umol_m2_s1,5,16.7,19.56357938503445,3.6051990072027534e-4,mid,EW,5
EW-9,2022-09-24,co2,1.5093235701544188,umol_m2_s1,6.6,17.6,13.90596853282204,9.470977474592128e-4,low,EW,9
NW-1,2022-09-24,co2,2.219220588772386,umol_m2_s1,9.7,18.4,17.907978017022494,1.031611771106932e-4,high,NW,1
NW-5,2022-09-24,co2,2.2508826124403867,umol_m2_s1,3.3,19.6,20.029831496140865,5.541193659556244e-5,mid,NW,5
NW-9,2022-09-24,co2,1.9300540950623344,umol_m2_s1,7.1,19.3,16.03314492255071,5.288108962736548e-4,low,NW,9
SP-1,2022-09-24,co2,1.84655488450078,umol_m2_s1,10.4,16.1,14.793434046107468,2.3569811986810175e-4,high,SP,1
SP-5,2022-09-24,co2,2.086499577427071,umol_m2_s1,11.2,16.3,13.996913982190936,2.31949377365243e-4,mid,SP,5
SP-9,2022-09-24,co2,2.644516810419225,umol_m2_s1,16.1,15.4,20.787589333588414,5.672384987248165e-4,low,SP,9
SW-1,2022-09-24,co2,2.544584026909672,umol_m2_s1,39.2,16.1,18.99171989809424,4.4498697080564705e-4,high,SW,1
SW-2,2022-09-24,co2,1.8570390075593424,umol_m2_s1,40.2,16.2,14.242465095445686,1.105255593680969e-4,high,SW,2
SW-3,2022-09-24,co2,1.7147003404734171,umol_m2_s1,50.6,16.4,14.479335774105095,6.222301371009724e-5,high,SW,3
SW-4,2022-09-24,co2,1.6861899601084336,umol_m2_s1,47.2,16.1,15.201671173992386,5.000179550727186e-4,high,SW,4
SW-5,2022-09-24,co2,2.4351173132500543,umol_m2_s1,23.8,16.3,19.336139603774487,6.114573335917417e-5,mid,SW,5
SW-9,2022-09-24,co2,3.3650663260522964,umol_m2_s1,17.7,15.7,29.080442261860156,5.3599344687105274e-5,low,SW,9
WW-1,2022-09-24,co2,2.020889712590867,umol_m2_s1,5.9,14.9,21.058156615680947,1.150402504301536e-4,high,WW,1
WW-2,2022-09-24,co2,1.913992398360123,umol_m2_s1,2.9,14.6,18.614222544767195,3.1124615145589264e-4,high,WW,2
WW-3,2022-09-24,co2,1.7793797595211596,umol_m2_s1,5.2,14.9,14.866697125405612,5.338616688655131e-4,high,WW,3
WW-4,2022-09-24,co2,2.3746671771643952,umol_m2_s1,5.4,15,21.34241332418505,5.4138913089332526e-5,high,WW,4
WW-5,2022-09-24,co2,1.3186055301815138,umol_m2_s1,5.5,15.4,10.742055529347745,7.34271336196168e-5,mid,WW,5
WW-9,2022-09-24,co2,2.388596026322687,umol_m2_s1,5.3,16.1,18.92825967721126,3.241146305318182e-5,low,WW,9
BP-1,2022-09-24,ch4,-0.7650747509750397,nmol_m2_s1,14.5,16.1,-0.0065365778389572,0.15907238766474263,high,BP,1
BP-2,2022-09-24,ch4,-0.639921768467689,nmol_m2_s1,17,15.9,-0.00551511638924469,0.11422075477296777,high,BP,2
BP-3,2022-09-24,ch4,-0.5187843716383027,nmol_m2_s1,14.5,16.2,-0.00420672788444305,0.3151636992253425,high,BP,3
BP-4,2022-09-24,ch4,-0.6337944119634052,nmol_m2_s1,14.1,15.8,-0.00549843806462844,0.2638757109101115,high,BP,4
BP-5,2022-09-24,ch4,-0.45928739360042115,nmol_m2_s1,18.9,16.4,-0.00422750619414987,0.38715113008251,mid,BP,5
BP-9,2022-09-24,ch4,-0.6003393903367757,nmol_m2_s1,17,16.3,-0.00439941911676145,0.3305189490601038,low,BP,9
EW-1,2022-09-24,ch4,-1.2549409855863949,nmol_m2_s1,5.2,15.9,-0.01268913488302119,0.02047110447542477,high,EW,1
EW-5,2022-09-24,ch4,-1.4181366772962292,nmol_m2_s1,5,16.7,-0.01484671873238045,0.01910389185362537,mid,EW,5
EW-9,2022-09-24,ch4,-1.4746245030488443,nmol_m2_s1,6.6,17.6,-0.01358627291232694,0.06259431032830232,low,EW,9
NW-1,2022-09-24,ch4,-1.386838427348425,nmol_m2_s1,9.7,18.4,-0.01119107861371094,0.08382745889331514,high,NW,1
NW-5,2022-09-24,ch4,-1.273197157528538,nmol_m2_s1,3.3,19.6,-0.01132974433482925,0.13866724911683856,mid,NW,5
NW-9,2022-09-24,ch4,-1.4596523640822705,nmol_m2_s1,7.1,19.3,-0.01212547251900676,0.03569045030558633,low,NW,9
SP-1,2022-09-24,ch4,-0.31075538014788257,nmol_m2_s1,10.4,16.1,-0.00248957626945034,0.28151882936783484,high,SP,1
SP-5,2022-09-24,ch4,-0.9376716914803348,nmol_m2_s1,11.2,16.3,-0.00629020496873044,0.19317054469244743,mid,SP,5
SP-9,2022-09-24,ch4,-0.4191961193501356,nmol_m2_s1,16.1,15.4,-0.00329514894552821,0.236077907533017,low,SP,9
SW-1,2022-09-24,ch4,-0.3455167103970534,nmol_m2_s1,39.2,16.1,-0.0025787934352245,0.5680854478401977,high,SW,1
SW-2,2022-09-24,ch4,-0.10127606975018384,nmol_m2_s1,40.2,16.2,-7.767316047478463e-4,0.8245127218100572,high,SW,2
SW-3,2022-09-24,ch4,0.8403754078558152,nmol_m2_s1,50.6,16.4,0.00709632897330932,0.12681118390416665,high,SW,3
SW-4,2022-09-24,ch4,-0.23578550108727064,nmol_m2_s1,47.2,16.1,-0.0021256997965361,0.5080496640400345,high,SW,4
SW-5,2022-09-24,ch4,-0.9353975028074508,nmol_m2_s1,23.8,16.3,-0.00742755866458316,0.1840101981576864,mid,SW,5
SW-9,2022-09-24,ch4,-0.9752186223893774,nmol_m2_s1,17.7,15.7,-0.0084277057547199,0.1858681020264852,low,SW,9
WW-1,2022-09-24,ch4,-1.0747354831807858,nmol_m2_s1,5.9,14.9,-0.01119900209508979,0.07534146124999236,high,WW,1
WW-2,2022-09-24,ch4,-1.5395546459132954,nmol_m2_s1,2.9,14.6,-0.01497268893200083,0.01277590945419737,high,WW,2
WW-3,2022-09-24,ch4,-1.5854739068930417,nmol_m2_s1,5.2,14.9,-0.01324661598958246,0.02811061351471947,high,WW,3
WW-4,2022-09-24,ch4,-1.1471609897521555,nmol_m2_s1,5.4,15,-0.01031015387255541,0.09562194272080209,high,WW,4
WW-5,2022-09-24,ch4,-2.006931170462668,nmol_m2_s1,5.5,15.4,-0.01634951892983581,0.02293313482960331,mid,WW,5
WW-9,2022-09-24,ch4,-1.2049598081717907,nmol_m2_s1,5.3,16.1,-0.00954861847643261,0.0320909913253147,low,WW,9
BP-1,2022-09-24,n2o,-0.1513863453697921,nmol_m2_s1,14.5,16.1,-0.00129340123824997,0.16371186630514112,high,BP,1
BP-2,2022-09-24,n2o,-0.16099157684488685,nmol_m2_s1,17,15.9,-0.00138749348395141,0.1287993991470723,high,BP,2
BP-3,2022-09-24,n2o,-0.11580210958901914,nmol_m2_s1,14.5,16.2,-9.390181935262636e-4,0.30867980866061095,high,BP,3
BP-4,2022-09-24,n2o,-0.1404003459477648,nmol_m2_s1,14.1,15.8,-0.00121803315377095,0.0710266380008835,high,BP,4
BP-5,2022-09-24,n2o,-0.11960565197951098,nmol_m2_s1,18.9,16.4,-0.00110090902046098,0.06926847932038908,mid,BP,5
BP-9,2022-09-24,n2o,-0.13787105183950318,nmol_m2_s1,17,16.3,-0.0010103493971476,0.13788824981319625,low,BP,9
EW-1,2022-09-24,n2o,-0.08976665539822057,nmol_m2_s1,5.2,15.9,-9.07661166085396e-4,0.34003026274673165,high,EW,1
EW-5,2022-09-24,n2o,-0.1296150536339483,nmol_m2_s1,5,16.7,-0.00135696246743618,0.38883730882064904,mid,EW,5
EW-9,2022-09-24,n2o,-0.14825518480905966,nmol_m2_s1,6.6,17.6,-0.00136593105385055,0.2576406380988348,low,EW,9
NW-1,2022-09-24,n2o,-0.10756917124248996,nmol_m2_s1,9.7,18.4,-8.680283355632719e-4,0.1845634023097348,high,NW,1
NW-5,2022-09-24,n2o,-0.13359097440344217,nmol_m2_s1,3.3,19.6,-0.00118878021089031,0.12524098592060107,mid,NW,5
NW-9,2022-09-24,n2o,-0.1196590204131996,nmol_m2_s1,7.1,19.3,-9.940189865576391e-4,0.08167223533726282,low,NW,9
SP-1,2022-09-24,n2o,-0.10795185970560749,nmol_m2_s1,10.4,16.1,-8.64842269305901e-4,0.21399531002181177,high,SP,1
SP-5,2022-09-24,n2o,-0.1619061220598229,nmol_m2_s1,11.2,16.3,-0.00108611863054195,0.1672252668275729,mid,SP,5
SP-9,2022-09-24,n2o,-0.0781431132674482,nmol_m2_s1,16.1,15.4,-6.142547256465677e-4,0.3871083782367084,low,SP,9
SW-1,2022-09-24,n2o,-0.13900971446079818,nmol_m2_s1,39.2,16.1,-0.00103751085923454,0.21635028089815245,high,SW,1
SW-2,2022-09-24,n2o,-0.1675358475699371,nmol_m2_s1,40.2,16.2,-0.00128490756065849,0.11966197529680007,high,SW,2
SW-3,2022-09-24,n2o,-0.1292503373362264,nmol_m2_s1,50.6,16.4,-0.00109142045932695,0.14310114026014698,high,SW,3
SW-4,2022-09-24,n2o,-0.12634397445745624,nmol_m2_s1,47.2,16.1,-0.00113904103330922,0.08996137704813623,high,SW,4
SW-5,2022-09-24,n2o,-0.14002128410196168,nmol_m2_s1,23.8,16.3,-0.00111184421471742,0.10034762079461688,mid,SW,5
SW-9,2022-09-24,n2o,-0.15503514042802294,nmol_m2_s1,17.7,15.7,-0.00133979244773627,0.09200932326423895,low,SW,9
WW-1,2022-09-24,n2o,-0.2535624992445104,nmol_m2_s1,5.9,14.9,-0.0026421821971219,0.17701820015770114,high,WW,1
WW-2,2022-09-24,n2o,-0.1835134249480138,nmol_m2_s1,2.9,14.6,-0.00178473004117545,0.34725387728228546,high,WW,2
WW-3,2022-09-24,n2o,-0.3062323280724471,nmol_m2_s1,5.2,14.9,-0.00255856752730854,0.14984745455719842,high,WW,3
WW-4,2022-09-24,n2o,-0.2352306442313201,nmol_m2_s1,5.4,15,-0.00211414453527506,0.12442957574666438,high,WW,4
WW-5,2022-09-24,n2o,-0.27023347250989094,nmol_m2_s1,5.5,15.4,-0.00220146427505891,0.1589279176056834,mid,WW,5
WW-9,2022-09-24,n2o,-0.2581926920074649,nmol_m2_s1,5.3,16.1,-0.00204602966228635,0.10620595647051392,low,WW,9
