date,ecosystem,pref,suff,time_begin,time_end
2023-06-07,WtP,1,1,10:31:36 AM,10:47:13 AM
2023-06-07,WtP,2,1,10:21:00 AM,10:37:18 AM
2023-06-07,WtP,3,1,12:18:02 PM,12:33:41 PM
2023-06-07,WtP,4,1,12:21:20 PM,12:36:44 PM
2023-06-07,PrP,1,1,3:11:14 PM,3:29:36 PM
2023-06-07,PrP,2,1,3:13:52 PM,3:30:30 PM
2023-06-07,PrP,3,1,3:17:47 PM,3:33:11 PM
2023-06-07,SWd,1,1,4:37:58 PM,4:59:16 PM
2023-06-07,SWd,2,1,4:42:41 PM,5:00:21 PM
2023-06-07,SWd,3,1,4:47:02 PM,5:02:37 PM
2023-06-07,WtP,1,2,10:51:51 AM,11:07:23 AM
2023-06-07,WtP,2,2,11:43:40 AM,12:00:30 PM
2023-06-07,WtP,3,2,12:42:30 PM,12:58:16 PM
2023-06-07,WtP,4,2,12:45:19 PM,1:00:56 PM
2023-06-07,PrP,1,2,3:43:40 PM,4:02:05 PM
2023-06-07,PrP,2,2,3:40:02 PM,4:03:07 PM
2023-06-07,PrP,3,2,3:49:47 PM,4:05:22 PM
2023-06-07,SWd,1,2,5:16:14 PM,5:32:04 PM
2023-06-07,SWd,2,2,5:18:50 PM,5:34:20 PM
2023-06-07,SWd,3,2,5:20:45 PM,5:35:47 PM
2023-07-20,WtP,1,1,9:39:19 AM,9:48:07 AM
2023-07-20,WtP,2,1,10:15:58 AM,10:24:32 AM
2023-07-20,WtP,3,1,10:51:09 AM,10:59:38 AM
2023-07-20,WtP,4,1,10:24:26 AM,10:32:59 AM
2023-07-20,PrP,1,1,12:01:47 PM,12:10:11 PM
2023-07-20,PrP,2,1,1:43:04 PM,1:51:41 PM
2023-07-20,PrP,3,1,2:12:42 PM,2:20:58 PM
2023-07-20,SWd,1,1,2:47:48 PM,2:56:22 PM
2023-07-20,SWd,2,1,2:47:35 PM,2:55:53 PM
2023-07-20,SWd,3,1,3:17:10 PM,3:25:35 PM
2023-07-20,NWd,1,1,3:47:52 PM,3:56:25 PM
2023-07-20,NWd,2,1,3:39:14 PM,3:47:28 PM
2023-07-20,NWd,3,1,3:14:56 PM,3:23:28 PM
2023-07-20,WtP,1,2,9:54:05 AM,10:02:20 AM
2023-07-20,WtP,2,2,10:28:46 AM,10:37:30 AM
2023-07-20,WtP,3,2,10:03:38 AM,10:12:16 AM
2023-07-20,WtP,4,2,10:37:08 AM,10:45:10 AM
2023-07-20,PrP,1,2,12:13:20 PM,12:21:34 PM
2023-07-20,PrP,2,2,1:55:26 PM,2:03:39 PM
2023-07-20,PrP,3,2,2:25:12 PM,2:33:29 PM
2023-07-20,SWd,1,2,3:00:12 PM,3:08:22 PM
2023-07-20,SWd,2,2,2:59:02 PM,3:07:30 PM
2023-07-20,SWd,3,2,3:29:20 PM,3:37:46 PM
2023-07-20,NWd,1,2,3:59:42 PM,4:08:06 PM
2023-07-20,NWd,2,2,3:50:01 PM,3:58:12 PM
2023-07-20,NWd,3,2,3:26:58 PM,3:35:08 PM
2023-09-09,WtP,1,1,3:07:21 PM,3:15:50 PM
2023-09-09,WtP,2,1,2:57:17 PM,3:06:20 PM
