ecosystem,pref,suff,date,air_temp,soil_temp,soil_moisture
NWd,1,1,240611,23.4,15.8,4.1
NWd,1,2,240611,26.6,17.7,1.2
NWd,1,3,240611,26.6,17.4,5.2
NWd,1,4,240611,23.4,16.2,3.8
NWd,2,1,240611,23.4,16.1,4.1
NWd,2,2,240611,23.4,15.4,5.1
NWd,2,3,240611,23.4,15.4,5.6
NWd,2,4,240611,23.4,15.8,4.6
NWd,3,1,240611,23.4,15.6,7.6
NWd,3,2,240611,23.4,15.7,5.4
NWd,3,3,240611,23.4,15.4,4.7
NWd,3,4,240611,23.4,16.1,4.7
SWd,1,1,240611,23.6,21,3.3
SWd,1,2,240611,23.6,21.2,2.5
SWd,1,3,240611,23.6,21.4,2.3
SWd,1,4,240611,23.6,20.9,2.7
SWd,2,1,240611,25.1,22.6,2
SWd,2,2,240611,25.1,22.8,3.4
SWd,2,3,240611,25.1,23.3,2.9
SWd,2,4,240611,25.1,23.1,3.2
SWd,3,1,240611,27.9,21.8,4.1
SWd,3,2,240611,27.9,21.9,3.3
SWd,3,3,240611,27.9,21.9,4.5
SWd,3,4,240611,27.9,21.6,4.9
Pr,1,1,240611,25.4,21.1,4.39
Pr,1,2,240611,25.4,20.2,6.4
Pr,1,3,240611,25.4,20.5,4.1
Pr,1,4,240611,25.4,20.8,3.8
Pr,2,1,240611,25.9,19.2,7.4
Pr,2,2,240611,25.9,19.2,5.2
Pr,2,3,240611,25.9,19.1,6.6
Pr,2,4,240611,25.9,19.8,5.4
Pr,3,1,240611,30.8,22.1,7.8
Pr,3,2,240611,30.8,20,11.8
Pr,3,3,240611,30.8,20.3,13.9
Pr,3,4,240611,30.8,20.7,14.1
Wt,1,1,240611,21.2,18.4,13.7
Wt,1,2,240611,21.2,18.2,21.7
Wt,1,3,240611,21.2,18.3,38.9
Wt,1,4,240611,21.2,17.9,45.3
Wt,2,1,240611,28.1,21.4,43.1
Wt,2,2,240611,28.1,21.4,43.9
Wt,2,3,240611,28.1,21.6,40.6
Wt,2,4,240611,28.1,21.6,42.8
Wt,3,1,240611,26.9,16.6,8.5
Wt,3,2,240611,26.9,16.4,12.7
Wt,3,3,240611,26.9,17.8,14.9
Wt,3,4,240611,26.9,20.2,9.9
Wt,4,1,240611,25.9,20.7,31
