ecosystem,rep,term,estimate,std.error,statistic,p.value
BP,1,min_elapsed,-0.0065365778389572075,0.0035052600512889276,-1.8647911262828065,0.15907238766474263
BP,2,min_elapsed,-0.005515116389244696,0.0024967917360393293,-2.208881225309303,0.11422075477296777
BP,3,min_elapsed,-0.00420672788444305,0.003496054286418737,-1.203278765088144,0.3151636992253425
BP,4,min_elapsed,-0.0054984380646284445,0.004009906953420584,-1.3712133793872932,0.2638757109101115
BP,5,min_elapsed,-0.004227506194149876,0.004188315374452559,-1.009357179723468,0.38715113008251
BP,6,min_elapsed,-0.004291764186558609,0.004969526484681357,-0.86361632235748,0.4513195112126712
BP,7,min_elapsed,-0.0026507474708395247,0.004250522341261484,-0.6236286409102433,0.5770716980164877
BP,8,min_elapsed,-0.004481098820565808,0.0032187493397402398,-1.392186326918965,0.2581179008199687
BP,9,min_elapsed,-0.004399419116761455,0.0037976393161336546,-1.1584615469065838,0.3305189490601038
BP,10,min_elapsed,-0.005907743920247067,0.005170874907037158,-1.1425037399777527,0.33616670194731496
BP,11,min_elapsed,-0.007816381134411835,0.004061293821504662,-1.9246037046184354,0.14995818101305658
BP,12,min_elapsed,-0.007218427588661983,0.0046675201345166605,-1.5465230744868503,0.21970880756298455
EW,1,min_elapsed,-0.012689134883021199,0.0028188189522546582,-4.501578532694226,0.020471104475424773
EW,2,min_elapsed,-0.015071578209845138,0.0034576226029407785,-4.358942528032543,0.02231540996549582
EW,3,min_elapsed,-0.021592308321404362,0.0013309593145841103,-16.22311672851652,5.095175178809434e-4
EW,4,min_elapsed,-0.01697739457545245,0.0032430585696706835,-5.234994746695684,0.013565101267920626
EW,5,min_elapsed,-0.014846718732380451,0.003214598271615572,-4.618530055053779,0.01910389185362537
EW,6,min_elapsed,-0.012187368613118373,0.003398084771365071,-3.586540487694334,0.03711392779195151
EW,7,min_elapsed,-0.015546418830622006,0.00297834117084436,-5.219824707393946,0.013674234303989504
EW,8,min_elapsed,-0.014775610727576416,0.002474502073581749,-5.971145017546609,0.009399348924137256
EW,9,min_elapsed,-0.013586272912326943,0.004687847633519925,-2.8981899529284685,0.06259431032830232
EW,10,min_elapsed,-0.016602511165028037,0.0034905670591504146,-4.756393698698629,0.017640500599001116
EW,11,min_elapsed,-0.010698714327430489,0.0029534964953512183,-3.622389376208906,0.03618650967509898
EW,12,min_elapsed,-0.013082121991088056,0.004274994103510061,-3.060149715843291,0.05498656801199177
NW,1,min_elapsed,-0.011191078613710947,0.004385946114601114,-2.551576859655225,0.08382745889331514
NW,2,min_elapsed,-0.008145033072066142,0.004426194515503654,-1.8401886865876531,0.1630072638156083
NW,3,min_elapsed,-0.00720025411256466,0.0025727189466175637,-2.7986944015128685,0.06792645952371341
NW,4,min_elapsed,-0.009857600917567601,0.004985674826294498,-1.9771848869040791,0.14244698374143175
NW,5,min_elapsed,-0.011329744334829256,0.005651048698659246,-2.0048923552043223,0.13866724911683856
NW,6,min_elapsed,-0.010561868555172658,0.0036652043857249533,-2.8816588227135362,0.06344306371523455
NW,7,min_elapsed,-0.011160488105666977,0.005301712837410002,-2.1050721621352677,0.12595580466181674
NW,8,min_elapsed,-0.00986115274439063,0.003501623594562415,-2.8161658379569325,0.06695026404192435
NW,9,min_elapsed,-0.012125472519006768,0.0033292990297736818,-3.642049695917831,0.03569045030558633
NW,10,min_elapsed,-0.012328406082289276,0.004531291198344506,-2.720726950144679,0.07250492801065672
NW,11,min_elapsed,-0.009262327437090183,0.005053133868228685,-1.832986752107753,0.16418039664989034
NW,12,min_elapsed,-0.011981868706341912,0.003473535092292585,-3.4494739186393826,0.040952363761840777
SP,1,min_elapsed,-0.002489576269450348,0.0019006470726343123,-1.3098572087872027,0.28151882936783484
SP,2,min_elapsed,-0.0041958125560032375,0.0036577553326220587,-1.1471003865628904,0.33453002242866475
SP,3,min_elapsed,-0.004273233037091952,0.0033698351616090116,-1.26808369910046,0.2942387005962834
SP,4,min_elapsed,-0.0033592551319485083,0.0034092178197833198,-0.9853448238053657,0.39710659699212564
SP,5,min_elapsed,-0.006290204968730448,0.003762689056358021,-1.6717312737021268,0.19317054469244743
SP,6,min_elapsed,-0.005669601090045938,0.0028658377330202612,-1.9783398846070865,0.1422870194695477
SP,7,min_elapsed,-0.005109684204386184,0.0028993855702664994,-1.762333460160155,0.17622105422097104
SP,8,min_elapsed,-0.004856543800672407,0.0032165308831969166,-1.509870098261105,0.22822801884209154
SP,9,min_elapsed,-0.0032951489455282147,0.002230361961768127,-1.4774054624371258,0.236077907533017
SP,10,min_elapsed,-0.0037476318538872577,0.003724571851101818,-1.0061913164001972,0.3884500471756789
SP,11,min_elapsed,-0.002957164503416802,0.0036887974625924172,-0.8016608483943607,0.48137024272880063
SP,12,min_elapsed,-0.004218554343579916,0.004624403577076561,-0.9122374968507369,0.4289058006403867
SW,1,min_elapsed,-0.002578793435224504,0.004033657731223042,-0.6393188532737978,0.5680854478401977
SW,2,min_elapsed,-7.767316047478463e-4,0.0032121297144739923,-0.241812029336132,0.8245127218100572
SW,3,min_elapsed,0.007096328973309321,0.0033824887149394287,2.0979608718181333,0.12681118390416665
SW,4,min_elapsed,-0.0021256997965361088,0.002836696955801322,-0.7493573792536582,0.5080496640400345
SW,5,min_elapsed,-0.007427558664583163,0.004319559955939054,-1.719517437041441,0.18401019815768638
SW,6,min_elapsed,-0.003653067723248994,0.00584436412378802,-0.625058200665509,0.5762486125299663
SW,7,min_elapsed,-0.006744748170012036,0.0038412052397160173,-1.7558937232186738,0.17736811844280953
SW,8,min_elapsed,-0.006881739244742288,0.004445268683717195,-1.5481042281987962,0.21934929393782188
SW,9,min_elapsed,-0.008427705754719909,0.004929607245247719,-1.7096099821835615,0.1858681020264852
SW,10,min_elapsed,-0.006869102273948261,0.0033801123423850723,-2.032211233873159,0.13505584727780096
SW,11,min_elapsed,-0.006877098003229532,0.0027143416470542044,-2.533615475669043,0.08515398864007817
SW,12,min_elapsed,-0.007521031222474905,0.0030680170472293035,-2.451430714593674,0.09156274529216914
WW,1,min_elapsed,-0.011199002095089792,0.004185875504797535,-2.6754264626968336,0.07534146124999236
WW,2,min_elapsed,-0.01497268893200083,0.0027988126030222796,-5.3496575354250835,0.012775909454197378
WW,3,min_elapsed,-0.013246615989582464,0.003316264592829272,-3.9944388087203593,0.02811061351471947
WW,4,min_elapsed,-0.010310153872555412,0.004290652324851669,-2.4029338878935715,0.09562194272080207
WW,5,min_elapsed,-0.016349518929835813,0.0037893978489251124,-4.314542727276172,0.022933134829603314
WW,6,min_elapsed,-0.013614269920955062,0.0030263602826057184,-4.49856218349293,0.020508019585512245
WW,7,min_elapsed,-0.01221946717143951,0.003839606108353868,-3.1824793550706922,0.04999873130005791
WW,8,min_elapsed,-0.010720865954010207,0.0027778947884009295,-3.8593491728970695,0.030746337028900242
WW,9,min_elapsed,-0.009548618476432616,0.002515419170853695,-3.796034707484542,0.032090991325314705
WW,10,min_elapsed,-0.01393190227199431,0.003153962795213205,-4.417269060097625,0.021536242351516577
WW,11,min_elapsed,-0.01001755936430443,0.00203315121764446,-4.927109836872061,0.016023894649587735
WW,12,min_elapsed,-0.008670091009703935,0.002787365847085186,-3.110496248194493,0.05286107651410195
