ecosystem,rep,term,estimate,std.error,statistic,p.value
BP,1,min_elapsed,1.7061559368645475e-4,6.613318822937184e-4,0.25798785489473647,0.8131019500236126
BP,2,min_elapsed,3.2066449683021967e-4,4.711383649430245e-4,0.6806163978367546,0.544937460030592
BP,3,min_elapsed,1.9018080863981716e-4,6.161802092449457e-4,0.30864478570783815,0.7777833924555427
BP,4,min_elapsed,0.0010369907639264763,2.7419942375523265e-4,3.781885277965275,0.06334605889423624
BP,5,min_elapsed,7.789570419271518e-4,1.5835886844549538e-4,4.91893538753882,0.03893171499110414
BP,6,min_elapsed,-6.434622530758243e-5,2.1657327202654987e-4,-0.29711064853697267,0.7857664645729472
BP,7,min_elapsed,1.03764332882122e-5,6.745471990739892e-4,0.01538281280013741,0.9886926089981604
BP,8,min_elapsed,5.157749853892835e-4,5.221141088292647e-4,0.9878587394349573,0.3960531277073559
BP,9,min_elapsed,8.749785840739337e-4,1.4199563546880896e-4,6.162010410989944,0.025339578145371213
BP,10,min_elapsed,6.275485523282465e-4,8.844075912112916e-5,7.095693869709453,0.005758025710700933
BP,11,min_elapsed,5.853387365498149e-4,9.795843980837402e-5,5.97537831038196,0.009380629141928767
BP,12,min_elapsed,2.5919887447999274e-4,7.480582153149811e-4,0.3464955924197065,0.7518491426422604
EW,1,min_elapsed,3.975635128236899e-4,3.3739781183652614e-4,1.178322736178013,0.35987605776061315
EW,2,min_elapsed,-8.607415561237127e-5,2.77405656047706e-4,-0.3102826266727919,0.7856945084996031
EW,3,min_elapsed,5.486769518448772e-4,1.655329155952433e-4,3.314609362566219,0.04523593126993036
EW,4,min_elapsed,5.355263095496426e-4,4.458610158268295e-5,12.011059288431683,0.0012416359243676014
EW,5,min_elapsed,6.198038461383014e-4,1.994874726184734e-4,3.1069812956310163,0.05300607127438319
EW,6,min_elapsed,-2.3400199113455283e-4,0.00016188481905515912,-1.4454844654384869,0.2440849124805449
EW,7,min_elapsed,5.292579222533168e-4,5.114763494086901e-4,1.0347651907369395,0.3768753235979473
EW,8,min_elapsed,6.653438165426034e-4,9.711530397384465e-5,6.851070730538984,0.006365752214529909
EW,9,min_elapsed,3.7797815820517737e-4,2.3822327416265447e-4,1.5866550383616205,0.21078281704426657
EW,10,min_elapsed,3.5689926601643575e-4,2.5203313838539475e-4,1.4160807118573657,0.25172189946929624
EW,11,min_elapsed,-1.3043303206393528e-4,9.30577387705741e-5,-1.401635519916369,0.25556790498438436
EW,12,min_elapsed,8.315531524144225e-4,2.208630566572496e-4,3.7650169521328483,0.032777283414965136
NW,1,min_elapsed,7.226294662833289e-4,4.0966018895636044e-4,1.763972887197755,0.1759303942212497
NW,2,min_elapsed,2.1448119518078354e-4,9.827357405682083e-4,0.21824910433884556,0.8474801235191561
NW,3,min_elapsed,3.1857340527530095e-4,6.674744677911035e-4,0.4772817847693366,0.6657764270780322
NW,4,min_elapsed,-1.0028055243442768e-5,5.205422181575205e-4,-0.019264633863776623,0.9858396353947843
NW,5,min_elapsed,1.4628479082690204e-4,4.526063935566091e-4,0.323205312407072,0.7677581398638925
NW,6,min_elapsed,-3.4665243429540007e-4,1.442653404681577e-4,-2.4028809218518656,0.0956264946743659
NW,7,min_elapsed,7.359104720473734e-4,6.318325744048435e-4,1.1647238554304775,0.3283287238580591
