row,date_collected,timepoint,gc_run_date,filename,ecosystem,rep,co2_height,ch4_height,n2o_height,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,co2_ppm,ch4_ppm,n2o_ppm
7,NA,t2,2023-04-10,T2_10222022_007,WW,1,649362,2355,4878,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,660.7272427160977,2.248651286648666,0.3195710640645472
8,NA,t2,2023-04-10,T2_10222022_008,WW,2,619467,2220,5212,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,630.3090154083745,2.1197477097070228,0.3414523136335425
9,NA,t2,2023-04-10,T2_10222022_009,WW,3,611793,2277,5240,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,622.5007037723328,2.174173664415717,0.34328666988483547
10,NA,t2,2023-04-10,T2_10222022_010,WW,4,700012,2433,5268,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,712.2637275174418,2.3231289088816154,0.3451210261361285
11,NA,t2,2023-04-10,T2_10222022_011,WW,5,582652,2168,5235,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,592.8496730991646,2.0700959615517234,0.34295910626853315
13,NA,t2,2023-04-10,T2_10222022_013,WW,6,599523,2339,4951,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,610.0159521728759,2.2333738256778046,0.32435349286256115
14,NA,t2,2023-04-10,T2_10222022_014,WW,7,736619,2261,5289,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,749.5114293757399,2.158896203444855,0.34649679332459826
15,NA,t2,2023-04-10,T2_10222022_015,WW,8,562271,2262,5296,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,572.1119614163179,2.159851044755534,0.3469553823874215
16,NA,t2,2023-04-10,T2_10222022_016,WW,9,674750,2208,4985,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,686.559587753344,2.1082896139788767,0.326580925453417
17,NA,t2,2023-04-10,T2_10222022_017,WW,10,619603,2197,5241,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,630.4473957032014,2.0977863595614097,0.34335218260809597
19,NA,t2,2023-04-10,T2_10222022_019,WW,11,605433,2191,4960,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,616.0293899848393,2.0920573116973364,0.32494310737190535
20,NA,t2,2023-04-10,T2_10222022_020,WW,12,570221,2231,5272,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,580.2011036506848,2.13025096412449,0.34538307702917037
21,NA,t2,2023-04-10,T2_10222022_021,BP,1,563960,2342,5270,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,573.8305225778079,2.2362383496098412,0.34525205158264943
22,NA,t2,2023-04-10,T2_10222022_022,BP,2,594428,2372,4859,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,604.8317786277062,2.264883588930206,0.3183263223225984
23,NA,t2,2023-04-10,T2_10222022_023,BP,3,555456,2436,5249,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,565.1776841424548,2.325993432813652,0.34387628439417967
25,NA,t2,2023-04-10,T2_10222022_025,BP,4,631962,2363,4833,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,643.0227049955965,2.2562900171340967,0.3166229915178263
26,NA,t2,2023-04-10,T2_10222022_026,BP,5,553879,2530,4818,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,563.5730832237634,2.4157485160174628,0.31564030066891935
27,NA,t2,2023-04-10,T2_10222022_027,BP,6,561656,2424,4842,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,571.4861975830933,2.314535337085506,0.3172126060271705
28,NA,t2,2023-04-10,T2_10222022_028,BP,7,573787,2459,5290,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,583.8295163812197,2.3479547829592655,0.34656230604785876
29,NA,t2,2023-04-10,T2_10222022_029,BP,8,563554,2470,5323,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,573.4174166976628,2.3584580373767325,0.3487242259154541
31,NA,t2,2023-04-10,T2_10222022_031,BP,9,572747,2393,4856,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,582.771314126661,2.284935256454462,0.318129784152817
32,NA,t2,2023-04-10,T2_10222022_032,BP,10,596348,2417,4882,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,606.7853827899684,2.307851447910754,0.3198331149575891
33,NA,t2,2023-04-10,T2_10222022_033,BP,11,551247,2430,4984,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,560.8950175179957,2.320264384949579,0.3265154127301565
34,NA,t2,2023-04-10,T2_10222022_034,BP,12,585063,2415,5314,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,595.3028708258388,2.3059417652893965,0.3481346114061099
35,NA,t2,2023-04-10,T2_10222022_035,EW,1,654817,2208,5066,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,666.2777170416916,2.1082896139788767,0.33188745603751463
37,NA,t2,2023-04-10,T2_10222022_037,EW,2,747132,2237,4834,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,760.2084296662933,2.135980011988563,0.3166885042410868
38,NA,t2,2023-04-10,T2_10222022_038,EW,3,545417,2159,5024,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,554.96297987946,2.0615023897556135,0.3291359216605751
39,NA,t2,2023-04-10,T2_10222022_039,EW,4,616225,2151,4889,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,627.0102733802214,2.053863659270183,0.32029170402041235
40,NA,t2,2023-04-10,T2_10222022_040,EW,5,611797,2302,4838,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,622.5047737810042,2.1980446971826875,0.3169505551341287
41,NA,t2,2023-04-10,T2_10222022_041,EW,6,558412,2290,4895,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,568.1854205506044,2.1865866014545414,0.32068478035997516
43,NA,t2,2023-04-10,T2_10222022_043,EW,7,569247,2202,4804,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,579.2100565392038,2.102560566114804,0.31472312254327284
44,NA,t2,2023-04-10,T2_10222022_044,EW,8,566682,2315,4852,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,576.6001634786817,2.2104576342215125,0.31786773325977513
45,NA,t2,2023-04-10,T2_10222022_045,EW,9,589056,2223,4855,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,599.3657569820434,2.1226122336390594,0.31806427142955657
46,NA,t2,2023-04-10,T2_10222022_046,EW,10,584383,2251,4893,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,594.6109693517042,2.1493477903380667,0.3205537549134542
47,NA,t2,2023-04-10,T2_10222022_047,EW,11,620526,2311,4884,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,631.3865502041223,2.2066382689787973,0.31996414040411003
49,NA,t2,2023-04-10,T2_10222022_049,EW,12,561056,2329,4869,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,570.8756962823863,2.223825412571016,0.3189814495552031
50,NA,t2,2023-04-10,T2_10222022_050,SP,1,560464,2454,4859,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,570.2733349990222,2.3431805764058713,0.3183263223225984
51,NA,t2,2023-04-10,T2_10222022_051,SP,2,571779,2389,4856,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,581.7863720281871,2.2811158912117464,0.318129784152817
52,NA,t2,2023-04-10,T2_10222022_052,SP,3,590147,2441,4826,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,600.4758518471622,2.3307676393670462,0.3161644024550031
53,NA,t2,2023-04-10,T2_10222022_053,SP,4,553353,2473,5005,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,563.037877083477,2.361322561308769,0.32789117991862626
55,NA,t2,2023-04-10,T2_10222022_055,SP,5,623355,2281,4868,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,634.2650638369555,2.177993029658432,0.3189159368319426
56,NA,t2,2023-04-10,T2_10222022_056,SP,6,603883,2473,4884,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,614.4522616246797,2.361322561308769,0.31996414040411003
57,NA,t2,2023-04-10,T2_10222022_057,SP,7,565152,2470,4656,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,575.043385161879,2.3584580373767325,0.3050272395007241
58,NA,t2,2023-04-10,T2_10222022_058,SP,8,638846,2302,4877,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,650.0271899190408,2.1980446971826875,0.3195055513412868
59,NA,t2,2023-04-10,T2_10222022_059,SP,9,617793,2311,4850,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,628.6057167794022,2.2066382689787973,0.31773670781325425
61,NA,t2,2023-04-10,T2_10222022_061,SP,10,566685,2377,4889,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,576.6032159851852,2.2696577954836004,0.32029170402041235
62,NA,t2,2023-04-10,T2_10222022_062,SP,11,656338,2415,4833,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,667.8253378389837,2.3059417652893965,0.3166229915178263
63,NA,t2,2023-04-10,T2_10222022_063,SP,12,610263,2334,4938,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,620.9439254555301,2.2285996191244104,0.32350182746017514
64,NA,t2,2023-04-10,T2_10222022_064,SW,1,608904,2288,4884,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,619.5611400094289,2.184676918833184,0.31996414040411003
65,NA,t2,2023-04-10,T2_10222022_065,SW,2,586744,2330,5002,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,597.013291969986,2.224780253881695,0.3276946417488449
67,NA,t2,2023-04-10,T2_10222022_067,SW,3,632715,2406,4887,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,643.7888841279838,2.2973481934932867,0.3201606785738914
68,NA,t2,2023-04-10,T2_10222022_068,SW,4,651591,2387,4863,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,662.9952550482241,2.279206208590389,0.31858837321564026
69,NA,t2,2023-04-10,T2_10222022_069,SW,5,640995,2380,4963,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,652.2138020777395,2.272522319415637,0.32513964554168673
70,NA,t2,2023-04-10,T2_10222022_070,SW,6,617136,2441,4990,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,627.9372178551281,2.3307676393670462,0.3269084890697193
71,NA,t2,2023-04-10,T2_10222022_071,SW,7,581676,2409,4962,982798.8888888889,10472.944444444445,15264.21052631579,0.838266302007616,1.3686595411496605,1.658233562725302,591.856590983348,2.3002127174253233,0.3250741328184263
