ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,-0.008620500867151586,9.180394603100809e-4,-9.390120185291261,0.002558610181324782
NWd,1,2,min_elapsed,-0.007939059625440226,0.0032670703929023946,-2.430024049279005,0.13571063139790296
NWd,1,3,min_elapsed,-0.010385201914587153,0.0015257596782560056,-6.806577774068447,0.020909907904793884
NWd,1,4,min_elapsed,-0.012747200874375015,3.153887571806382e-4,-40.41742320914148,6.115953789532446e-4
NWd,2,1,min_elapsed,-0.01652833644740063,0.00149317626309128,-11.06924671651456,0.0015794341790935423
NWd,2,2,min_elapsed,-0.010636345019432857,0.0019692937616055547,-5.401096183212961,0.03261200807682523
NWd,2,3,min_elapsed,-0.012334501973723695,9.687797904205564e-4,-12.73199760739143,0.006112386109928256
NWd,2,4,min_elapsed,-0.004238272625722903,9.073650661493829e-4,-4.670967379986326,0.01852934385110179
NWd,3,1,min_elapsed,-0.016092481612683635,5.727489933442695e-4,-28.09691819573522,0.0012643240074124802
NWd,3,2,min_elapsed,-0.011360425956695291,0.002053476055833455,-5.532290442064286,0.031154272923958205
NWd,3,3,min_elapsed,-0.007417248252865798,5.628681486255216e-4,-13.177594559184273,9.441288655511687e-4
NWd,3,4,min_elapsed,-0.0074518130610654945,0.0019904156581558806,-3.743847688562497,0.03325649610642779
Pr,1,1,min_elapsed,0.0087318739537468,0.009153542288617575,0.9539338628068481,0.4104923995132447
Pr,1,2,min_elapsed,0.007166142971989761,0.009240269380151891,0.7755339890179656,0.4945470469550352
Pr,1,3,min_elapsed,7.636805524732088e-4,0.001621362225124494,0.4710116842734329,0.6697653564309953
Pr,1,4,min_elapsed,0.015619648183580815,0.0034658149756454145,4.506774970199348,0.020407710455457403
Pr,2,1,min_elapsed,0.006314565638285746,0.0036597380557304576,1.7254146450176482,0.1829143678044855
Pr,2,2,min_elapsed,0.01220363685931382,0.003868375408977697,3.1547188597548494,0.05107886660099179
Pr,2,3,min_elapsed,0.003856148339329472,0.00230788353189588,1.6708591599341773,0.23670600320710738
Pr,2,4,min_elapsed,0.0015808767960203973,0.0025867392125853376,0.6111465695223204,0.5842951405698266
Pr,3,1,min_elapsed,0.0018669059999379255,0.002576891199392046,0.724479947146537,0.52116085636814935
Pr,3,2,min_elapsed,0.015542154344314892,0.006258994306771147,2.4831711905379072,0.08901981916946725
Pr,3,3,min_elapsed,0.005547728187973596,0.001918432277180361,2.8918029862005015,0.06292054216916187
Pr,3,4,min_elapsed,5.459054312696276e-4,0.0025758283157120603,0.21193393516940118,0.8457406332555759
SWd,1,1,min_elapsed,0.0018988316988976094,0.004585859626481239,0.4140623249636178,0.7066516153353899
SWd,1,2,min_elapsed,-0.006862154008760789,0.004398775869471472,-1.5600144704770558,0.21666207693755185
SWd,1,3,min_elapsed,-0.010870845030059969,0.004498114210178469,-2.4167561164767872,0.09444302386705263
SWd,1,4,min_elapsed,0.005347802996407325,0.0030219870712581056,1.769631328760431,0.17493140412699304
SWd,2,1,min_elapsed,-0.005393201296591786,0.0015119833514031366,-3.5669713503041143,0.037633004005734
SWd,2,2,min_elapsed,-0.00624251375460093,9.853579627646155e-4,-6.33527508834082,0.007952975090015716
SWd,2,3,min_elapsed,-0.004713953357944813,0.007848444345546402,-0.600622639392193,0.5904364092194481
SWd,2,4,min_elapsed,-0.011034124200379023,0.006083850269598998,-1.8136745171912838,0.16737470314144748
SWd,3,1,min_elapsed,-0.008104729482252533,0.001950604728717893,-4.15498299728806,0.025344193849308746
SWd,3,2,min_elapsed,-0.007963288336423017,0.002774185484031113,-2.8704960004518956,0.10295893082099802
SWd,3,3,min_elapsed,-0.0068210452967717794,0.001810471127756431,-3.767552650908354,0.03272047722142462
SWd,3,4,min_elapsed,-0.005185975414963963,0.0015140844308171228,-3.4251560279007625,0.041685386857196166
Wt,1,1,min_elapsed,-0.0072515759486966765,0.0026629266357468167,-2.723160244579166,0.0723563444694369
Wt,1,2,min_elapsed,-1.1767413289491737e-4,0.0011737351843867307,-0.1002561177855475,0.9292856890594501
Wt,1,3,min_elapsed,0.0022434145151888508,0.006493311358872315,0.3454962177539045,0.7525284885867254
Wt,1,4,min_elapsed,0.005039872038742468,0.002430235863806305,2.073820123306417,0.12976696124405332
Wt,2,1,min_elapsed,-0.0035865467449397847,0.0019571912790432694,-1.8324967944333936,0.16426056090989127
Wt,2,2,min_elapsed,-0.004073044156011613,0.00199666906580069,-2.0399194968136944,0.13405705032185275
Wt,2,3,min_elapsed,8.726161272827903e-4,0.002335961803615283,0.37355753246147866,0.7335700251137572
Wt,2,4,min_elapsed,0.004798054453666314,0.003492503044297271,1.3738153962387551,0.2631539601445707
Wt,3,1,min_elapsed,-0.003074229371255745,0.0012184499843789145,-2.52306570697917,0.08594516737748452
Wt,3,2,min_elapsed,0.0018240771451827388,0.0030211543870556565,0.6037682658649034,0.5885958979052347
Wt,3,3,min_elapsed,0.008038899614502331,0.002598229703880058,3.0939911134483093,0.05354629406061808
Wt,3,4,min_elapsed,0.001296325726626311,0.0076483590116405474,0.1694907005088734,0.8761950928695722
Wt,4,1,min_elapsed,0.025355032244930808,0.002401955621063291,10.555995299241504,0.001816005782115315
Wt,4,2,min_elapsed,0.006921148336666007,0.0022032607406238408,3.14132059317969,0.05161071745685039
Wt,4,3,min_elapsed,0.00265520103986626,0.0018879567488077752,1.4063887011940244,0.25429544063642323
Wt,4,4,min_elapsed,0.006507489417163727,0.0016104636545471902,4.0407552190263,0.02727418912688098
