ecosystem,pref,suff,gas,estimate,p.value,date.x,average_temp_kelvin,date.y,h1,h2,h3,h4,diameter_cm2,base_vol_l,total_vol_l,total_vol_m3,flux,units
PrP,1,1,co2,-12.141864662926798,0.458952725091633,230607,306.5,230607,9,9,9.5,9.5,25.4,4.687044182,7.147044182,0.007147044182,-1.1464242320405014,umol_m2_s1
PrP,1,2,co2,87.7350896908804,0.01357786472676869,230607,304.8,230607,9,9,9.5,9.5,25.4,4.687044182,7.147044182,0.007147044182,8.330073051129403,umol_m2_s1
PrP,2,1,co2,19.689759266443925,0.01034970701568871,230607,307.65,230607,11.5,11.5,14.5,14.5,25.4,6.587197228,9.047197228,0.009047197228,2.3445609448217573,umol_m2_s1
PrP,2,2,co2,63.13687777193939,0.01661791842784501,230607,306.9,230607,11.5,11.5,14.5,14.5,25.4,6.587197228,9.047197228,0.009047197228,7.5364054064694335,umol_m2_s1
PrP,3,1,co2,4.314435654322667,0.1833601446918708,230607,306.95,230607,14.5,14,13,15.5,25.4,7.220581577,9.680581577,0.009680581577,0.5509621808619204,umol_m2_s1
PrP,3,2,co2,55.15196713286209,0.01481837663106782,230607,306.05,230607,14.5,14,13,15.5,25.4,7.220581577,9.680581577,0.009680581577,7.063729401835649,umol_m2_s1
SWdP,1,1,co2,20.097463336058595,0.09067634187790884,230607,298.8,230607,6.2,9.7,11.4,13.8,25.4,5.206419348,7.666419348,0.007666419348,2.087936106188111,umol_m2_s1
SWdP,1,2,co2,29.964260796102767,0.00106331669988616,230607,297.95,230607,6.2,9.7,11.4,13.8,25.4,5.206419348,7.666419348,0.007666419348,3.121883778909966,umol_m2_s1
SWdP,2,1,co2,4.172413332285871,0.3303627024670175,230607,302.75,230607,15.5,12,12.5,14,25.4,6.840550968,9.300550968,0.009300550968,0.519010126023407,umol_m2_s1
SWdP,2,2,co2,27.301149642211534,0.03870819057049085,230607,298.95,230607,15.5,12,12.5,14,25.4,6.840550968,9.300550968,0.009300550968,3.4391810263861617,umol_m2_s1
SWdP,3,1,co2,4.071218420794139,0.4120678058006305,230607,299.35,230607,12,13,15,13.5,25.4,6.777212533,9.237212533,0.009237212533,0.5086863194983212,umol_m2_s1
SWdP,3,2,co2,35.95697642965708,0.04054739349879168,230607,297.75,230607,12,13,15,13.5,25.4,6.777212533,9.237212533,0.009237212533,4.516856702805766,umol_m2_s1
WtP,1,1,co2,-6.279363549327876,0.5668559210985439,230607,300.1,230607,4,4,4,3.5,25.4,1.963491482,4.423491482,0.004423491482,-0.37478207292381444,umol_m2_s1
WtP,1,2,co2,74.09561865231645,0.00288814029640887,230607,299.55,230607,4,4,4,3.5,25.4,1.963491482,4.423491482,0.004423491482,4.430496331378921,umol_m2_s1
WtP,2,1,co2,4.1152355343156515,0.36681463497628,230607,305.55,230607,6.5,8,8.5,10,25.4,4.180336703,6.640336703,0.006640336703,0.3621316566945942,umol_m2_s1
WtP,2,2,co2,54.234174272068906,0.00426079095692,230607,303.4,230607,6.5,8,8.5,10,25.4,4.180336703,6.640336703,0.006640336703,4.8063073403568355,umol_m2_s1
WtP,3,1,co2,21.273289383439593,0.02556218300019098,230607,298.6,230607,6.5,7,8,8,25.4,3.736967658,6.196967658,0.006196967658,1.787672895617967,umol_m2_s1
WtP,3,2,co2,45.10573207362407,0.01081267912912387,230607,297.55,230607,6.5,7,8,8,25.4,3.736967658,6.196967658,0.006196967658,3.803776511109606,umol_m2_s1
WtP,4,1,co2,0.167888799087249,0.9778416126677952,230607,305.1,230607,10,9,8.5,8,25.4,4.497028877,6.957028877,0.006957028877,0.015501270769133796,umol_m2_s1
WtP,4,2,co2,72.84077560820813,0.00921599525981514,230607,303.25,230607,10,9,8.5,8,25.4,4.497028877,6.957028877,0.006957028877,6.766460320656752,umol_m2_s1
