Date, PFD(µmol/m²s)
Sep 9 2023 1:30:00 PM, 2206.484
Sep 9 2023 1:45:00 PM, 2175.997
Sep 9 2023 2:00:00 PM, 2142.603
Sep 9 2023 2:15:00 PM, 2092.436
Sep 9 2023 2:30:00 PM, 2033.884
Sep 9 2023 2:45:00 PM, 1980.851
Sep 9 2023 3:00:00 PM, 1912.112
Sep 9 2023 3:15:00 PM, 1830.444
Sep 9 2023 3:30:00 PM, 1701.569
Sep 9 2023 3:45:00 PM, 1596.818
Sep 9 2023 4:00:00 PM, 1530.25
Sep 9 2023 4:15:00 PM, 1419.37
Sep 9 2023 4:30:00 PM, 1274.784
Sep 9 2023 4:45:00 PM, 1163.254
Sep 9 2023 5:00:00 PM, 1040.578
Sep 9 2023 5:15:00 PM, 898.714
Sep 9 2023 5:30:00 PM, 700.076
Sep 9 2023 5:45:00 PM, 628.541
Sep 9 2023 6:00:00 PM, 524.998
Sep 9 2023 6:15:00 PM, 409.981
Sep 9 2023 6:30:00 PM, 205
Sep 9 2023 6:45:00 PM, 133.112
Sep 9 2023 7:00:00 PM, 65.083
Sep 9 2023 7:15:00 PM, 27.85
Sep 9 2023 7:30:00 PM, 5.98
Sep 9 2023 7:45:00 PM, 0.492
Sep 9 2023 8:00:00 PM, 0.055
Sep 9 2023 8:15:00 PM, 0.015
Sep 9 2023 8:30:00 PM, 0.104
Sep 9 2023 8:45:00 PM, 0.074
Sep 9 2023 9:00:00 PM, -0.02
Sep 9 2023 9:15:00 PM, -0.04
Sep 9 2023 9:30:00 PM, 0.05
Sep 9 2023 9:45:00 PM, 0.064
Sep 9 2023 10:00:00 PM, 0.144
Sep 9 2023 10:15:00 PM, 0.154
Sep 9 2023 10:30:00 PM, 0.06
Sep 9 2023 10:45:00 PM, 0.139
Sep 9 2023 11:00:00 PM, 0.199
Sep 9 2023 11:15:00 PM, 0.05
Sep 9 2023 11:30:00 PM, 0.094
Sep 9 2023 11:45:00 PM, 0.134
Sep 10 2023 12:00:00 AM, 0.035
Sep 10 2023 12:15:00 AM, 0.035
Sep 10 2023 12:30:00 AM, 0.099
Sep 10 2023 12:45:00 AM, 0.064
Sep 10 2023 1:00:00 AM, 0.139
Sep 10 2023 1:15:00 AM, 0.099
Sep 10 2023 1:30:00 AM, 0.179
Sep 10 2023 1:45:00 AM, 0.119
Sep 10 2023 2:00:00 AM, -0.06
Sep 10 2023 2:15:00 AM, 0.154
Sep 10 2023 2:30:00 AM, 0.05
Sep 10 2023 2:45:00 AM, 0.184
Sep 10 2023 3:00:00 AM, 0.189
Sep 10 2023 3:15:00 AM, 0.005
Sep 10 2023 3:30:00 AM, 0.055
Sep 10 2023 3:45:00 AM, 0.055
Sep 10 2023 4:00:00 AM, 0.104
Sep 10 2023 4:15:00 AM, -0.02
Sep 10 2023 4:30:00 AM, 0.114
Sep 10 2023 4:45:00 AM, 0.074
Sep 10 2023 5:00:00 AM, -0.02
Sep 10 2023 5:15:00 AM, 0.089
Sep 10 2023 5:30:00 AM, 0.094
