ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWdP,1,1,min_elapsed,-19.134634881884775,103.31445305965185,-0.18520772568806798,0.8834141593092928
NWdP,1,2,min_elapsed,1.3439172223904114,8.727218234055483,0.15399147659057696,0.902730045029718
NWdP,2,1,min_elapsed,18.676037974160124,6.4334053970969025,2.90297856599986,0.21119429693018846
NWdP,2,2,min_elapsed,29.932493997175662,39.885813907486835,0.7504546369945614,0.5901492752453634
NWdP,3,1,min_elapsed,22.581841702258455,9.71353059636978,2.3247820633517047,0.25860948417029556
NWdP,3,2,min_elapsed,24.702630701079762,45.64289507646166,0.5412152463093663,0.6841896932506479
PrP,1,1,min_elapsed,11.149771741144114,33.121392374719754,0.3366335453232423,0.7932782289015862
PrP,1,2,min_elapsed,7.455010848570515,6.396483312722198,1.165485859041166,0.45144405974862667
PrP,2,1,min_elapsed,7.73396422164394,85.53344969917906,0.09042034723075328,0.9425927303521259
PrP,2,2,min_elapsed,13.519605659956978,13.831609731832506,0.9774426781896924,0.5072618106151949
PrP,3,1,min_elapsed,-5.13571742659151,33.910592386625,-0.15144876763099951,0.9043118890176571
PrP,3,2,min_elapsed,15.422742545451642,0.9572111340231585,16.112163761227738,0.039461132273948714
SWdP,1,1,min_elapsed,16.29361237124345,18.271173260862664,0.8917660698968248,0.5363833701650058
SWdP,1,2,min_elapsed,29.487729045977012,44.119327594640694,0.6683630656592096,0.624918836245183
SWdP,2,1,min_elapsed,8.260761172395485,19.76837344627923,0.4178776364602881,0.7480115649577727
SWdP,2,2,min_elapsed,19.81995848801753,39.34361017772101,0.5037656279758719,0.7029178362665494
SWdP,3,1,min_elapsed,20.985754833104846,1.199220084126377,17.499502477389555,0.036339785594494044
SWdP,3,2,min_elapsed,35.91617044479196,41.14558518800096,0.8729045967066712,0.5431349200488667
WtP,1,1,min_elapsed,29.701080406120248,21.30211361080668,1.3942785654402259,0.396096957226304
WtP,1,2,min_elapsed,24.332521238948026,7.469106481898851,3.2577553015099117,0.18960425151673035
WtP,2,1,min_elapsed,14.430734173335034,26.451504252390365,0.5455543864591731,0.6820570194511343
WtP,2,2,min_elapsed,18.587201400046503,4.938838288246447,3.7634764119085906,0.16533695667424717
WtP,3,1,min_elapsed,38.88095887809505,22.50424032397516,1.727717013254287,0.334024374649772
WtP,3,2,min_elapsed,35.80880388272525,11.989439484786887,2.9866954104203276,0.2056831549021139
WtP,4,1,min_elapsed,19.19818488036025,17.88205166760451,1.073600794652667,0.477413174586779
WtP,4,2,min_elapsed,9.964788157670789,30.062085289999064,0.3314736174002485,0.7962333678564499
