ecosystem,pref,suff,gas,estimate,p.value,date,average_temp_kelvin,h1,h2,h3,h4,diameter_cm2,base_vol_l,total_vol_l,total_vol_m3,flux,units
NWd,1,1,co2,12.67950541838269,8.479101433573546e-5,231014,283.65,8,9.5,13,10,25.4,5.130413226,7.590413226,0.007590413226,1.3738803969221303,umol_m2_s1
NWd,1,2,co2,16.932264074286305,4.231039737310847e-4,231014,283.6,7,12,12.5,10.5,25.4,5.320428531,7.780428531,0.007780428531,1.8809459053481101,umol_m2_s1
NWd,1,3,co2,10.479430243596925,4.252453532171276e-4,231014,283.7,7.5,12.5,12,12,25.4,5.57378227,8.03378227,0.00803378227,1.2016067910180264,umol_m2_s1
NWd,1,4,co2,16.52857312882312,8.293798653434922e-5,231014,283.7,10,13,13.5,12,25.4,6.143828184,8.603828184,0.008603828184,2.0296994699080075,umol_m2_s1
NWd,2,1,co2,10.567743267807698,1.0273776644655004e-4,231014,284.35,18,12,18.5,12.5,25.4,7.727289056,10.18728906,0.01018728906,1.5330334537039996,umol_m2_s1
NWd,2,2,co2,9.957131553162014,0.00113833375631473,231014,284.3,13,13.5,14,15,25.4,7.030566272,9.490566272,0.009490566272,1.345902168773386,umol_m2_s1
NWd,2,3,co2,15.334227236364368,2.748059293907134e-5,231014,284.2,8,9,10.5,10.5,25.4,4.813721051,7.273721051,0.007273721051,1.5891264061770547,umol_m2_s1
NWd,2,4,co2,15.977819479348872,3.0548321044163125e-4,231014,284.25,8,13,17,14.5,25.4,6.650535663,9.110535663,0.009110535663,2.073599744399226,umol_m2_s1
NWd,3,1,co2,15.376348386567786,6.401336301574078e-5,231014,285.2,11,12,15.5,14,25.4,6.650535663,9.110535663,0.009110535663,1.9888937504505444,umol_m2_s1
NWd,3,2,co2,11.529443946346976,8.909037791824953e-6,231014,285.25,14,14.5,15,13,25.4,7.157243142,9.617243142,0.009617243142,1.5739730301446337,umol_m2_s1
NWd,3,3,co2,11.827575310603931,1.0919387200241854e-4,231014,285.3,9,9.5,14.5,14.5,25.4,6.017151314,8.477151314,0.008477151314,1.4230097214457886,umol_m2_s1
NWd,3,4,co2,12.497185610906458,0.00235549965768302,231014,285.2,13.5,14,14,13.5,25.4,6.967227838,9.427227838,0.009427227838,1.6726716017564118,umol_m2_s1
Pr,1,1,co2,5.681989013788266,9.070291491492976e-4,231014,285.55,10.5,9.5,11,11,25.4,5.320428531,7.780428531,0.007780428531,0.626881890948716,umol_m2_s1
Pr,1,2,co2,7.914278348081481,0.00502161233078627,231014,285.55,10,10.5,10.5,11,25.4,5.320428531,7.780428531,0.007780428531,0.8731656756639902,umol_m2_s1
Pr,1,3,co2,8.887152003893029,0.01367411736909089,231014,286,9.5,9.5,10,10,25.4,4.940397921,7.400397921,0.007400397921,0.931141384078411,umol_m2_s1
Pr,1,4,co2,10.457530882510524,0.00338116515824564,231014,285.95,9,8.5,9.75,9.5,25.4,4.655374964,7.115374964,0.007115374964,1.053660811267897,umol_m2_s1
Pr,2,1,co2,9.14366223255641,0.01969707013308586,231014,287,13.5,16,14,12,25.4,7.030566272,9.490566272,0.009490566272,1.2243184259943665,umol_m2_s1
Pr,2,2,co2,9.672160455410674,0.00397189048563254,231014,286.9,12.5,18,17,11.5,25.4,7.473935317,9.933935317,0.009933935317,1.3560579639590475,umol_m2_s1
Pr,2,3,co2,6.050876438489397,0.0105217845977966,231014,286.3,14,16.5,15,15.5,25.4,7.727289056,10.18728906,0.01018728906,0.87180538486679,umol_m2_s1
Pr,2,4,co2,15.907023896815693,0.00128218895670535,231014,286.85,13.5,16.5,15,14,25.4,7.473935317,9.933935317,0.009933935317,2.230588139014074,umol_m2_s1
Pr,3,1,co2,11.364755505659458,9.606292176056516e-4,231014,288.05,16.5,12.5,12,16,25.4,7.220581577,9.680581577,0.009680581577,1.5465275035268056,umol_m2_s1
Pr,3,2,co2,10.927853136661296,0.00131717885362995,231014,288.3,15.5,14,16.5,17.5,25.4,8.043981231,10.50398123,0.01050398123,1.6121599417389332,umol_m2_s1
Pr,3,3,co2,8.645366422961779,0.00309230017860528,231014,288.3,15.5,16.5,16,14.5,25.4,7.917304361,10.37730436,0.01037730436,1.260048606994323,umol_m2_s1
Pr,3,4,co2,9.772309551058024,0.04757890486875153,231014,288.5,14.5,13,15,14.5,25.4,7.220581577,9.680581577,0.009680581577,1.3277515844770786,umol_m2_s1
SWd,1,1,co2,19.638850233726636,6.182065937145323e-5,231014,285.95,9.5,17,14.4,18.3,25.4,7.499270691,9.959270691,0.009959270691,2.76960270891451,umol_m2_s1
SWd,1,2,co2,18.076548369846755,0.00579429149154859,231014,285.7,9.1,10.6,12.4,12.6,25.4,5.662456079,8.122456079,0.008122456079,2.080925922278985,umol_m2_s1
SWd,1,3,co2,19.1421888157521,9.212854078864692e-4,231014,285.8,7.7,9.6,14.6,14.8,25.4,5.915809818,8.375809818,0.008375809818,2.271538805078008,umol_m2_s1
SWd,1,4,co2,16.177139277338807,3.3639273880009865e-5,231014,285.8,9.6,13.6,12.2,10,25.4,5.751129888,8.211129888,0.008211129888,1.8819427320821378,umol_m2_s1
SWd,2,1,co2,10.56218323123528,5.826726164316106e-5,231014,284.75,13.5,15.5,16.5,15,25.4,7.663950621,10.12395062,0.01012395062,1.5205614090779977,umol_m2_s1
SWd,2,2,co2,11.608021093913012,3.3495201739531833e-4,231014,284.85,15,12.5,15,15.5,25.4,7.347258447,9.807258447,0.009807258447,1.6182796262329047,umol_m2_s1
SWd,2,3,co2,12.459625159799932,2.55195294834794e-4,231014,284.85,13.75,16.5,14,14,25.4,7.378927664,9.838927664,0.009838927664,1.742611205301573,umol_m2_s1
SWd,2,4,co2,14.297568827936356,2.2104182555557583e-4,231014,284.75,12,13.5,12.5,13.5,25.4,6.523858793,8.983858793,0.008983858793,1.8265239100097566,umol_m2_s1
SWd,3,1,co2,14.443889824710537,5.968449064239285e-5,231014,286.2,10.5,13,13,13,25.4,6.270505054,8.730505054,0.008730505054,1.7840946345196478,umol_m2_s1
SWd,3,2,co2,8.288589079528943,0.00288126120451116,231014,286.35,12,13.5,14,12,25.4,6.523858793,8.983858793,0.008983858793,1.0529562345740104,umol_m2_s1
SWd,3,3,co2,12.924569203752574,0.00970297586763837,231014,285.95,10,14,13,11,25.4,6.080489749,8.540489749,0.008540489749,1.5630495025817461,umol_m2_s1
SWd,3,4,co2,14.52574519291408,9.622946254936376e-6,231014,286,6.5,7,13,13,25.4,5.003736356,7.463736356,0.007463736356,1.5349444404394281,umol_m2_s1
Wt,1,1,co2,18.50457562206322,0.00961450597285187,231014,286,9.5,9.5,11,11.5,25.4,5.257090096,7.717090096,0.007717090096,2.021764881448075,umol_m2_s1
Wt,1,2,co2,11.686684514528924,0.00975464789341968,231014,286.1,11.5,10.75,11,8,25.4,5.225420878,7.685420878,0.007685420878,1.2711742877131675,umol_m2_s1
Wt,1,3,co2,11.369584014825334,0.00376457520491999,231014,286.15,8.5,9,9,10.5,25.4,4.687044182,7.147044182,0.007147044182,1.1498502215603703,umol_m2_s1
