ecosystem,pref,suff,term,estimate,std.error,statistic,p.value
NWd,1,1,min_elapsed,0.00112338586577988,7.736976213423081e-4,1.4519701686957351,0.24243442531331857
NWd,1,2,min_elapsed,-7.402668866585161e-4,0.0013522662288204255,-0.5474268830215829,0.6221821014704179
NWd,1,3,min_elapsed,-7.52222643772905e-4,0.0015183894407009573,-0.49540824218696156,0.6543281234050637
NWd,1,4,min_elapsed,-9.09623745392291e-4,0.0015426877244855833,-0.5896356929239256,0.5968973484300637
NWd,2,1,min_elapsed,1.891591139312874e-4,0.0012023264876065598,0.15732757772628092,0.8849791318935103
NWd,2,2,min_elapsed,1.412230677219089e-4,0.0012536077460539668,0.11265331453673816,0.9174206218857854
NWd,2,3,min_elapsed,-6.843067485593624e-4,0.001322003924642771,-0.5176283790112607,0.640466485136198
NWd,2,4,min_elapsed,-1.9602270989468057e-4,0.0013790469385426434,-0.14214360977577348,0.8959758263854528
NWd,3,1,min_elapsed,0.001163833247105391,8.461706545251827e-4,1.3754119702466643,0.2627121445385262
NWd,3,2,min_elapsed,-8.903589088662614e-4,0.0012726971969513454,-0.6995842459612955,0.5345528638810547
NWd,3,3,min_elapsed,-4.0673077572202373e-4,0.001517488694686535,-0.2680288671317195,0.8060497505125576
NWd,3,4,min_elapsed,-6.202329304415563e-4,0.0015414406494277891,-0.4023722422733552,0.7143643730588817
Pr,1,1,min_elapsed,-9.202348710792354e-4,7.207944705863097e-4,-1.2766952420302233,0.29156825929135793
Pr,1,2,min_elapsed,-2.6923895361225387e-4,0.0015379151275535352,-0.1750674980618406,0.8721754947416291
Pr,1,3,min_elapsed,2.205273521152555e-5,0.001582868584972845,0.013932132724653119,0.9897588586097961
Pr,1,4,min_elapsed,-3.7781833681010026e-5,0.0015375051041247236,-0.024573468783714122,0.9819383390469953
Pr,2,1,min_elapsed,6.415898058809107e-4,0.0015052236689428182,0.4262421719235429,0.6986656719450841
Pr,2,2,min_elapsed,-0.0010510033770380074,0.0018998399767497292,-0.553206264685554,0.6186770388210359
Pr,2,3,min_elapsed,3.5309685248384736e-4,0.0018400264578164094,0.19189770396175357,0.8600767690080613
Pr,2,4,min_elapsed,-2.1582767574916133e-4,0.0021156729954560833,-0.10201372150266283,0.925182069234812
Pr,3,1,min_elapsed,3.727609174887831e-4,7.217636163503455e-4,0.5164584485065595,0.6411915302244638
Pr,3,2,min_elapsed,-2.4327833826684263e-4,0.0015705158000255195,-0.15490346436685934,0.8867325050706492
