ecosystem,pref,suff,gas,estimate,p.value,date,average_temp_kelvin,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,h1,h2,h3,h4,diameter_cm2,base_vol_l,total_vol_l,total_vol_m3,flux,units
NWd,1,1,co2,11.148650115401384,0.00910384683152211,240914,298.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.5,5,9,25.4,4.116998268,6.576998268,0.006576998268,0.9958161863659024,umol_m2_s1
NWd,1,2,co2,25.956569425137943,0.00633224654491962,240914,298.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,9,12,25.4,6.080489749,8.540489749,0.008540489749,3.0096333992515407,umol_m2_s1
NWd,1,3,co2,21.986590917522584,0.01036367145341104,240914,298.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,6.5,11.5,25.4,4.560367312,7.020367312,0.007020367312,2.0952143479730307,umol_m2_s1
NWd,1,4,co2,21.931637791878337,0.00683093004921069,240914,300.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8.5,7,11.5,25.4,4.940397921,7.400397921,0.007400397921,2.186256644425355,umol_m2_s1
NWd,2,1,co2,24.823521286348377,6.0128898253056976e-5,240914,299.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,12,13,25.4,6.333843489,8.793843489,0.008793843489,2.948810803135856,umol_m2_s1
NWd,2,2,co2,17.671319759340232,1.251411802669794e-4,240914,298.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,13,13,25.4,6.840550968,9.300550968,0.009300550968,2.22646426416515,umol_m2_s1
NWd,2,3,co2,21.05411300656802,5.366682883495401e-4,240914,298.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,13,12,25.4,6.840550968,9.300550968,0.009300550968,2.6557826699347555,umol_m2_s1
NWd,2,4,co2,31.42524436247917,0.00212120174552948,240914,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11.5,10,13,25.4,6.143828184,8.603828184,0.008603828184,3.661534964220948,umol_m2_s1
NWd,3,1,co2,30.63608539635185,1.5894168828351596e-4,240914,300.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9.5,8,12.5,25.4,5.320428531,7.780428531,0.007780428531,3.211857688557673,umol_m2_s1
NWd,3,2,co2,28.725445714349007,5.226629446003574e-5,240914,299.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,12,14,25.4,6.840550968,9.300550968,0.009300550968,3.610751709601594,umol_m2_s1
NWd,3,3,co2,28.419448558967684,0.00363082896305536,240914,299.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,12,14,25.4,6.840550968,9.300550968,0.009300550968,3.571096304651307,umol_m2_s1
NWd,3,4,co2,22.21933014320064,2.5092334580557396e-4,240914,299.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,2,9,25.4,3.420275484,5.880275484,0.005880275484,1.7661325396274838,umol_m2_s1
Pr,1,1,co2,23.252867186473015,0.01329572700707243,240914,303.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,5,6,25.4,2.85022957,5.31022957,0.00531022957,1.6449459845722874,umol_m2_s1
Pr,1,2,co2,48.923101330077934,0.01268429940461351,240914,300.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,5.5,5.5,4.75,25.4,2.533537395,4.993537395,0.004993537395,3.2874872729927573,umol_m2_s1
Pr,1,3,co2,38.311125478438605,0.03993998016302025,240914,307.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,25.4,3.040244875,5.500244875,0.005500244875,2.772057928031666,umol_m2_s1
Pr,1,4,co2,40.88344197150009,0.01254870993729744,240914,308.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.5,5,5.5,25.4,2.660214265,5.120214265,0.005120214265,2.745762307981211,umol_m2_s1
Pr,2,1,co2,20.27638243826847,0.00599779842347772,240914,308.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,25.4,3.040244875,5.500244875,0.005500244875,1.4626132861143581,umol_m2_s1
Pr,2,2,co2,21.41063837915095,0.01321065328966542,240914,312.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.25,5.5,5.75,25.4,2.7235527,5.1835527,0.0051835527,1.438500744111413,umol_m2_s1
Pr,2,3,co2,24.45911241378865,0.00280381537121056,240914,310.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.5,6,5.5,25.4,2.913568005,5.373568005,0.005373568005,1.7120504266476055,umol_m2_s1
Pr,2,4,co2,22.0942659495726,0.06182641476232906,240914,312.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.25,5.5,6,25.4,2.881898787,5.341898787,0.005341898787,1.529532413607565,umol_m2_s1
Pr,3,1,co2,23.34508759543045,8.82100974645638e-4,240914,310.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,5.5,5.5,25.4,2.786891135,5.246891135,0.005246891135,1.596064379599457,umol_m2_s1
Pr,3,2,co2,28.194202694590867,3.4638162926073753e-4,240914,312.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,25.4,3.040244875,5.500244875,0.005500244875,2.0112818077682078,umol_m2_s1
Pr,3,3,co2,27.828259040616302,0.00121076629090671,240914,310.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.25,6,5.25,25.4,2.7235527,5.1835527,0.0051835527,1.882936800924427,umol_m2_s1
Pr,3,4,co2,32.818990314453615,7.414013317449716e-5,240914,311.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.25,5.25,5.5,25.4,2.59687583,5.05687583,0.00505687583,2.15420235820502,umol_m2_s1
SWd,1,1,co2,30.31280862087788,0.00347567772835593,240914,299.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.5,6,6,25.4,2.97690644,5.43690644,0.00543690644,2.226667014859547,umol_m2_s1
SWd,1,2,co2,33.23343748924662,2.642154589372549e-4,240914,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,6.25,6.25,25.4,3.040244875,5.500244875,0.005500244875,2.458978749397561,umol_m2_s1
SWd,1,3,co2,21.162951106631464,0.00272763969205463,240914,301.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.5,6,6,25.4,3.103583309,5.563583309,0.005563583309,1.5820624026127585,umol_m2_s1
SWd,1,4,co2,33.316884254384625,0.00132390572435314,240914,300.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,25.4,3.040244875,5.500244875,0.005500244875,2.4721341775288543,umol_m2_s1
SWd,2,1,co2,14.726452320804482,0.4016126686905992,240914,300.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6,6,6,25.4,3.071914092,5.531914092,0.005531914092,1.0977237683262098,umol_m2_s1
SWd,2,2,co2,18.93100695387333,0.00634151660613234,240914,300.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5.5,6,25.4,2.97690644,5.43690644,0.00543690644,1.3889797843233112,umol_m2_s1
SWd,2,3,co2,22.114180968049105,0.0111410970329925,240914,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,5.5,5,25.4,2.786891135,5.246891135,0.005246891135,1.5660861156858898,umol_m2_s1
SWd,2,4,co2,19.071285983548144,0.00134668093135485,240914,300.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,25.4,3.040244875,5.500244875,0.005500244875,1.4132183008505452,umol_m2_s1
SWd,3,1,co2,25.297742165034062,0.01101611311366615,240914,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,5.5,6,25.4,2.85022957,5.31022957,0.00531022957,1.7776146205979722,umol_m2_s1
SWd,3,2,co2,25.42690680612228,8.710517860305848e-4,240914,302.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.5,6.5,6,25.4,2.913568005,5.373568005,0.005373568005,1.8316454947597611,umol_m2_s1
