day,daily_total_precip
2023-07-11,0.01
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,0
2023-08-13,0
2023-08-14,0.16
2023-08-15,0.13999999999999999
2023-08-16,0
2023-08-17,0.02
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,0
2023-08-27,0
2023-08-28,0.04
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0.01
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,1.4200000000000006
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,0.16000000000000003
2023-09-17,0.3500000000000001
2023-09-18,0
2023-09-19,0.13999999999999999
2023-09-20,0.11
2023-09-21,0.05
2023-09-22,0.060000000000000005
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0.3400000000000001
2023-09-27,0.4200000000000001
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,0
2023-10-06,0.09999999999999999
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0.1
2023-10-12,1.2300000000000006
2023-10-13,0.6600000000000001
2023-10-14,1.11
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-17,0.00268
2023-10-18,0.13319
2023-10-19,0.09437
2023-10-20,0.00268
2023-10-21,0.00201
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,0.10575
2023-10-26,0.48791
2023-10-27,0.00602
2023-10-28,6.7e-4
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,0.03748
2023-11-02,0
2023-11-03,0.00335
2023-11-04,0.00268
2023-11-05,0.00134
2023-11-06,0
2023-11-07,0.01941
2023-11-08,0.10307
2023-11-09,0
2023-11-10,0
2023-11-11,0.00335
2023-11-12,0
2023-11-13,0
2023-11-14,0
2023-11-15,0
2023-11-16,0
2023-11-17,0
2023-11-18,0
2023-11-19,0
2023-11-20,0.43571
2023-11-21,0.12248
2023-11-22,0.00335
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-29,0
2023-12-04,0
2023-12-07,0
2023-12-08,0.53476
2023-12-09,0.19476
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0.19409
2023-12-17,0.00134
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0.3815
2023-12-23,0.00268
2023-12-24,0.00134
2023-12-25,0.31724
2023-12-26,6.7e-4
2023-12-27,0
2023-12-28,0.25032
2023-12-29,0.00268
2023-12-30,0.00201
2023-12-31,0
2024-01-01,0
2024-01-02,0.00736
2024-01-03,0.00134
2024-01-04,0
2024-01-05,0
2024-01-06,0.00602
2024-01-07,0
2024-01-08,0.00669
2024-01-09,0.01071
2024-01-10,0
2024-01-11,0.01673
2024-01-12,0.02543
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0.25098
2024-01-24,0.12382
2024-01-25,0.27307
2024-01-26,0.04953
2024-01-27,0.01807
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0.00201
2024-02-02,0.00335
2024-02-03,0
2024-02-04,0.00268
2024-02-05,0.00335
2024-02-06,0.00268
2024-02-07,6.7e-4
2024-02-08,0.02142
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0.00134
2024-02-13,0
2024-02-14,0.00134
2024-02-15,0.13118
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0.01272
2024-02-24,0.00201
2024-02-25,0
2024-02-26,0
2024-02-27,0.20949
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,6.7e-4
2024-03-03,0
2024-03-04,0.4424
2024-03-05,0.16933
2024-03-06,0
2024-03-07,0
2024-03-08,0.61173
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0.53209
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0.10776
2024-03-23,0.02343
2024-03-24,0
2024-03-25,1.26429
2024-03-26,0.25165
2024-03-27,0
2024-03-28,0
2024-03-29,0.06224
2024-03-30,0.2724
2024-03-31,0.21417
2024-04-01,0.09035
2024-04-02,1.05614
2024-04-03,0.17201
2024-04-04,0.0502
2024-04-05,0
2024-04-06,0.00134
2024-04-07,0.33331
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,0.1178
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0.76165
2024-04-17,0.12516
2024-04-18,0.35472
2024-04-19,6.7e-4
2024-04-20,0
2024-04-21,6.7e-4
2024-04-22,0.01339
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0.44307
2024-04-27,0.00201
2024-04-28,0.3139
2024-04-29,0.06157
2024-04-30,0.00402
2024-05-01,0
2024-05-02,0.15327
2024-05-03,0.00469
2024-05-04,0.40626
2024-05-05,0
2024-05-06,0
2024-05-07,1.23618
2024-05-08,0
2024-05-09,0.5776
2024-05-10,0.02476
2024-05-11,0
2024-05-12,0
2024-05-13,0.33933
2024-05-14,0.04417
2024-05-15,0
2024-05-16,0.10709
2024-05-17,0.0087
2024-05-18,6.7e-4
2024-05-19,0
2024-05-20,0
2024-05-21,0.00602
2024-05-22,0
2024-05-23,0
2024-05-24,0.63583
2024-05-25,0
2024-05-26,0.31524
2024-05-27,0.00736
2024-05-28,0.00803
2024-05-29,0.00134
2024-05-30,0
2024-05-31,0
2024-06-01,0.22689
2024-06-02,0
2024-06-03,0
2024-06-04,0.74559
2024-06-05,0.0174
2024-06-06,0
2024-06-07,0
2024-06-08,0.04484
2024-06-09,0.00669
2024-06-10,0
2024-06-11,0
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,0
2024-06-16,0.27106
2024-06-17,0
2024-06-18,0
2024-06-19,0.00937
2024-06-20,0.03748
2024-06-21,0.14122
2024-06-22,1.57083
2024-06-23,0.00134
2024-06-24,0.00201
2024-06-25,0.72751999999999994
2024-06-26,0.00937
2024-06-27,0.00134
2024-06-28,0.52874
2024-06-29,6.7e-4
2024-06-30,0
2024-07-01,0.00402
2024-07-02,0.39622
2024-07-03,0.37012
2024-07-04,0.00268
2024-07-05,0.1265
2024-07-06,0.00402
2024-07-07,0.00201
2024-07-08,0
2024-07-09,0.16665
2024-07-10,0.06358
2024-07-11,1.21276
2024-07-12,0.00669
2024-07-13,0.3922
2024-07-14,0.89551
2024-07-15,0.78441
2024-07-16,0.00402
2024-07-17,0.00201
2024-07-18,0.00335
2024-07-19,0.00335
2024-07-20,0.00268
2024-07-21,0.00268
2024-07-22,0.03413
2024-07-23,0.10976
2024-07-24,0.00134
2024-07-25,0.00469
2024-07-26,0.00268
2024-07-27,0.00335
2024-07-28,0.17402
2024-07-29,0.70878
2024-07-30,0.00602
2024-07-31,0.01272
2024-08-01,0.12248
2024-08-02,0
2024-08-03,0.00402
2024-08-04,0
2024-08-05,0.23961
2024-08-06,0.00134
2024-08-07,0.00201
2024-08-08,0.00335
2024-08-09,0.00134
2024-08-10,0.00335
2024-08-11,0.00402
2024-08-12,0.00268
2024-08-13,0.00469
2024-08-14,0.01807
2024-08-15,0.93098
2024-08-16,0.23291
2024-08-17,0.00201
2024-08-18,0.00335
2024-08-19,0.00535
2024-08-20,0.00469
2024-08-21,0.00535
2024-08-22,0.00335
2024-08-23,0.00201
2024-08-24,6.7e-4
2024-08-25,0
2024-08-26,0
2024-08-27,0.31122
2024-08-28,0.02543
2024-08-29,0.00402
2024-08-30,0.21016
2024-08-31,0.00669
2024-09-01,0.00402
2024-09-02,0.00335
2024-09-03,0.00402
2024-09-04,0.00535
2024-09-05,0.00268
2024-09-06,0.02276
2024-09-07,0.00469
2024-09-08,0.00201
2024-09-09,0
2024-09-10,0.00201
2024-09-11,0
2024-09-12,0
2024-09-13,6.7e-4
2024-09-14,0
2024-09-15,0
2024-09-16,0
2024-09-17,0
2024-09-18,0
2024-09-19,0
2024-09-20,0.76232
2024-09-21,6.7e-4
2024-09-22,0.53476
2024-09-23,0.00134
2024-09-24,0.27843
2024-09-25,0.00402
2024-09-26,0.00335
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,0.00134
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,0.12717
2024-10-05,0
2024-10-06,0
2024-10-07,0
2024-10-08,0
2024-10-09,0
2024-10-10,0.00201
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-15,0
2024-10-16,0.00134
2024-10-17,0
2024-10-18,0
2024-10-19,0
2024-10-20,0
2024-10-21,0
2024-10-22,0.02878
2024-10-23,0
2024-10-24,0.89284
2024-10-25,0.01941
2024-10-26,6.7e-4
2024-10-27,0
2024-10-28,0
2024-10-29,0
2024-10-30,0.01874
2024-10-31,0.03815
2024-11-01,6.7e-4
2024-11-02,6.7e-4
2024-11-03,0.26638
2024-11-04,0.90421
2024-11-04,0
2024-11-05,0.12248
2024-11-06,0
2024-11-07,0
2024-11-08,0.00469
2024-11-09,0.13654
2024-11-10,0.00335
2024-11-11,0
2024-11-12,0.00201
2024-11-13,0.24362
2024-11-14,0.00469
2024-11-15,6.7e-4
2024-11-16,0.00201
2024-11-17,0.04819
2024-11-18,0.72685
2024-11-19,0.00134
2024-11-20,0
2024-11-21,0.16264
2024-11-22,0
2024-11-23,0
2024-11-24,0
2024-11-25,0
2024-11-26,0
2024-11-27,0
2024-11-28,0
2024-11-29,0
2024-11-30,0
2024-12-01,0
2024-12-02,0
2024-12-03,0
2024-12-04,0
2024-12-05,0
2024-12-06,0
2024-12-07,0
2024-12-08,0
2024-12-09,0
2024-12-10,0
2024-12-11,0
2024-12-12,0
2024-12-13,0
2024-12-14,0.27709
2024-12-15,0.01071
2024-12-16,0.00268
2024-12-17,0
2024-12-18,0.00469
2024-12-19,0
2024-12-20,0
2024-12-21,0
2024-12-26,6.7e-4
2024-12-27,0.32595
2024-12-28,0
2024-12-29,0
2024-12-30,0.05756
2024-12-31,0.06291
2025-01-01,0
2025-01-02,0
2025-01-03,0
2025-01-04,0
2025-01-05,0
2025-01-06,0
2025-01-07,0
2025-01-08,0
2025-01-09,0
2025-01-12,0
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,0
2025-01-17,0
2025-01-18,0
2025-01-19,0
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-23,0
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,0
2025-01-28,0
2025-01-29,0
2025-01-30,0.10508
2025-01-31,0.7148
2025-02-01,0
2025-02-02,0.01673
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,0.01071
2025-02-07,0
2025-02-08,0
2025-02-09,0
2025-02-10,0
2025-02-11,0
2025-02-12,0
2025-02-13,0
2025-02-14,0
2025-02-15,0
2025-02-16,0
2025-02-17,0
2025-02-18,0
2025-02-19,0
2025-02-20,0
2025-02-21,0
2025-02-22,0
2025-02-23,0
2025-02-24,0
2025-02-25,0
2025-02-26,0.07563
2025-02-27,0.00402
2025-02-28,0
2025-03-01,0
2025-03-02,0
2025-03-03,0.01138
2025-03-04,0.93969
2025-03-05,0.30587
2025-03-06,0
2025-03-07,0.2028
2025-03-08,0
2025-03-09,0
2025-03-10,0
2025-03-11,0
2025-03-12,0
2025-03-13,0
2025-03-14,0.18272
2025-03-15,0.0087
2025-03-16,0.11311
2025-03-17,0
2025-03-18,0
