method,date,id,ecosystem,site,transect,patch,chamber,soil_moisture,soil_temperature
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,1,13,26.2
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,2,13.3,24.9
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,3,11.7,26.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,high,NA,4,12.9,25.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,5,12.5,25.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,6,14.6,24.3
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,7,15.6,24.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,mid,NA,8,17,24.9
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,9,8.9,25.1
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,10,12,25.5
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,11,13.6,24.8
handheld-sensor,2022/08/18,bp,prairie,big_bowl,low,NA,12,15.3,24.7
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,1,8.9,20.9
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,2,7.4,21.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,3,7.1,21.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,high,NA,4,8.8,21.1
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,5,11.4,20.9
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,6,12.4,21.3
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,7,12.7,20.3
handheld-sensor,2022/08/18,sp,prairie,small_bowl,mid,NA,8,11.8,20.2
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,9,12.1,22.7
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,10,11.8,24.2
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,11,10.1,22.4
handheld-sensor,2022/08/18,sp,prairie,small_bowl,low,NA,12,14.9,21.5
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,1,3.2,20.5
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,2,3.7,21.1
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,3,2.3,21.2
handheld-sensor,2022/08/18,ww,woodland,west,high,NA,4,3.4,22
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,5,7.7,21.4
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,6,5.4,21.1
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,7,8.2,20.8
handheld-sensor,2022/08/18,ww,woodland,west,mid,NA,8,8.9,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,9,8.1,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,10,9.7,21.3
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,11,13.1,21.6
handheld-sensor,2022/08/18,ww,woodland,west,low,NA,12,10.2,22.3
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,1,5.1,19.8
handheld-sensor,2022/08/18,ew,woodland,east,high,NA,2,8.1,19.3
