Month,Day,Year,Time,soil_temp_05cm_HQ,soil_temp_20cm_HQ,soil_temp_35cm_HQ,temp_unit
7,11,2023,11:02:54 AM,30.1,24.8,24.6,deg_C
7,11,2023,10:42:54 AM,29.2,24.7,24.6,deg_C
7,11,2023,10:22:54 AM,28.4,24.6,24.6,deg_C
7,11,2023,10:02:54 AM,27.6,24.6,24.6,deg_C
7,11,2023,9:42:54 AM,26.8,24.6,24.6,deg_C
7,11,2023,9:22:54 AM,26.1,24.6,24.7,deg_C
7,11,2023,9:02:54 AM,25.5,24.6,24.7,deg_C
7,11,2023,8:42:54 AM,24.9,24.6,24.8,deg_C
7,11,2023,8:22:54 AM,24.5,24.7,24.8,deg_C
7,11,2023,8:02:54 AM,24,24.8,24.8,deg_C
7,11,2023,7:42:54 AM,23.6,24.8,24.8,deg_C
7,11,2023,7:22:54 AM,23.3,24.8,24.9,deg_C
7,11,2023,7:02:54 AM,23.1,25,24.9,deg_C
7,11,2023,6:42:54 AM,23,25,25,deg_C
7,11,2023,6:22:54 AM,23.1,25.1,25,deg_C
7,11,2023,6:02:54 AM,23.3,25.2,25,deg_C
7,11,2023,5:42:54 AM,23.4,25.3,25,deg_C
7,11,2023,5:22:54 AM,23.5,25.4,25,deg_C
7,11,2023,5:02:54 AM,23.6,25.5,25.1,deg_C
7,11,2023,4:42:55 AM,23.7,25.6,25.1,deg_C
7,11,2023,4:22:55 AM,23.8,25.6,25.1,deg_C
7,11,2023,4:02:55 AM,23.9,25.8,25.1,deg_C
7,11,2023,3:42:55 AM,24.1,25.9,25.1,deg_C
7,11,2023,3:22:55 AM,24.2,26,25.2,deg_C
7,11,2023,3:02:55 AM,24.4,26.1,25.2,deg_C
7,11,2023,2:42:55 AM,24.6,26.2,25.2,deg_C
7,11,2023,2:22:55 AM,24.8,26.3,25.2,deg_C
7,11,2023,2:02:55 AM,25,26.5,25.3,deg_C
7,11,2023,1:42:55 AM,25.1,26.6,25.3,deg_C
7,11,2023,1:22:55 AM,25.4,26.6,25.3,deg_C
7,11,2023,1:02:55 AM,25.6,26.8,25.3,deg_C
7,11,2023,12:42:55 AM,25.9,26.9,25.3,deg_C
7,11,2023,12:22:55 AM,26.2,27,25.3,deg_C
7,11,2023,12:02:55 AM,26.5,27.2,25.2,deg_C
7,10,2023,11:42:55 PM,26.9,27.3,25.2,deg_C
7,10,2023,11:22:55 PM,27.2,27.4,25.2,deg_C
7,10,2023,11:02:55 PM,27.6,27.5,25.1,deg_C
7,10,2023,10:42:55 PM,28.1,27.6,25.1,deg_C
7,10,2023,10:22:55 PM,28.6,27.8,25.1,deg_C
7,10,2023,10:02:55 PM,29.1,27.8,25.1,deg_C
7,10,2023,9:42:55 PM,29.6,28,25,deg_C
7,10,2023,9:22:55 PM,30.2,28,25,deg_C
7,10,2023,9:02:55 PM,30.8,28.1,24.9,deg_C
7,10,2023,8:42:55 PM,31.5,28.1,24.9,deg_C
7,10,2023,8:22:55 PM,32.3,28.1,24.8,deg_C
7,10,2023,8:02:55 PM,33,28.1,24.8,deg_C
7,10,2023,7:42:56 PM,33.8,28.1,24.7,deg_C
7,10,2023,7:22:56 PM,34.6,28,24.6,deg_C
7,10,2023,7:02:55 PM,35.5,27.9,24.5,deg_C
7,10,2023,6:42:56 PM,36.1,27.9,24.5,deg_C
7,10,2023,6:22:56 PM,36.6,27.8,24.5,deg_C
7,10,2023,6:02:56 PM,37,27.6,24.4,deg_C
7,10,2023,5:42:56 PM,37.4,27.5,24.3,deg_C
7,10,2023,5:22:56 PM,37.6,27.3,24.3,deg_C
7,10,2023,5:02:56 PM,38,27.2,24.2,deg_C
7,10,2023,4:22:56 PM,38.3,26.8,24.1,deg_C
7,10,2023,4:02:56 PM,38.1,26.6,24.1,deg_C
7,10,2023,3:42:56 PM,37.9,26.4,24,deg_C
7,10,2023,3:22:56 PM,37.6,26.2,24,deg_C
7,10,2023,3:02:56 PM,37.2,26,24,deg_C
7,10,2023,2:42:56 PM,36.9,25.7,24,deg_C
7,10,2023,2:22:56 PM,36.7,25.5,24,deg_C
7,10,2023,2:02:56 PM,36.6,25.3,23.9,deg_C
7,10,2023,1:42:56 PM,36.6,25,23.9,deg_C
7,10,2023,1:22:56 PM,36.1,24.8,23.9,deg_C
7,10,2023,1:02:56 PM,35.3,24.6,23.9,deg_C
7,10,2023,12:42:56 PM,34.4,24.5,23.9,deg_C
7,10,2023,12:22:56 PM,33.4,24.3,23.9,deg_C
7,10,2023,12:02:56 PM,32.5,24.1,24,deg_C
7,10,2023,11:42:56 AM,31.6,24,24,deg_C
7,10,2023,11:22:56 AM,30.7,23.8,24,deg_C
7,10,2023,11:02:57 AM,29.8,23.8,24,deg_C
7,10,2023,10:42:57 AM,28.8,23.7,24,deg_C
7,10,2023,10:22:57 AM,27.8,23.6,24.1,deg_C
7,10,2023,10:02:57 AM,26.9,23.6,24.1,deg_C
7,10,2023,9:42:57 AM,25.9,23.5,24.1,deg_C
7,10,2023,9:22:57 AM,25,23.5,24.2,deg_C
7,10,2023,9:02:57 AM,24.1,23.5,24.2,deg_C
7,10,2023,8:42:57 AM,23.3,23.5,24.3,deg_C
7,10,2023,8:22:57 AM,22.5,23.6,24.3,deg_C
7,10,2023,8:02:57 AM,21.9,23.6,24.3,deg_C
7,10,2023,7:42:57 AM,21.3,23.7,24.4,deg_C
7,10,2023,7:22:57 AM,21,23.8,24.4,deg_C
7,10,2023,7:02:57 AM,20.6,23.8,24.5,deg_C
