Month,Day,Year,Time,soil_temp_05cm_VC,soil_temp_20cm_VC,soil_temp_35cm_VC,temp_unit
7,11,2023,11:00:43 AM,29.5,24.5,24.3,deg_C
7,11,2023,10:40:43 AM,28.5,24.3,24.4,deg_C
7,11,2023,10:20:43 AM,27.5,24.3,24.4,deg_C
7,11,2023,10:00:43 AM,26.6,24.2,24.4,deg_C
7,11,2023,9:40:43 AM,25.8,24.2,24.5,deg_C
7,11,2023,9:20:43 AM,25,24.2,24.5,deg_C
7,11,2023,9:00:43 AM,24.3,24.2,24.6,deg_C
7,11,2023,8:40:43 AM,23.8,24.2,24.6,deg_C
7,11,2023,8:20:43 AM,23.4,24.3,24.7,deg_C
7,11,2023,8:00:43 AM,23,24.4,24.8,deg_C
7,11,2023,7:40:43 AM,22.8,24.5,24.8,deg_C
7,11,2023,7:20:43 AM,22.6,24.5,24.8,deg_C
7,11,2023,7:00:43 AM,22.5,24.6,24.9,deg_C
7,11,2023,6:40:43 AM,22.5,24.8,25,deg_C
7,11,2023,6:20:43 AM,22.5,24.8,25,deg_C
7,11,2023,6:00:43 AM,22.5,25,25.1,deg_C
7,11,2023,5:40:43 AM,22.6,25.1,25.1,deg_C
7,11,2023,5:20:43 AM,23,25.3,25.3,deg_C
7,11,2023,5:00:43 AM,23.5,25.3,25.3,deg_C
7,11,2023,4:40:44 AM,23.6,25.3,25.3,deg_C
7,11,2023,4:20:44 AM,23.7,25.5,25.3,deg_C
7,11,2023,4:00:44 AM,23.8,25.6,25.4,deg_C
7,11,2023,3:40:44 AM,23.9,25.6,25.5,deg_C
7,11,2023,3:20:44 AM,24.1,25.8,25.5,deg_C
7,11,2023,3:00:44 AM,24.2,25.9,25.6,deg_C
7,11,2023,2:40:44 AM,24.3,26,25.6,deg_C
7,11,2023,2:20:44 AM,24.5,26.1,25.6,deg_C
7,11,2023,2:00:44 AM,24.6,26.3,25.7,deg_C
7,11,2023,1:40:44 AM,24.8,26.4,25.8,deg_C
7,11,2023,1:20:44 AM,25,26.5,25.8,deg_C
7,11,2023,1:00:44 AM,25.2,26.6,25.8,deg_C
7,11,2023,12:40:44 AM,25.5,26.8,25.8,deg_C
7,11,2023,12:20:44 AM,25.7,26.9,25.8,deg_C
7,11,2023,12:00:44 AM,25.9,27,25.9,deg_C
7,10,2023,11:40:44 PM,26.2,27.1,25.9,deg_C
7,10,2023,11:20:44 PM,26.5,27.2,25.9,deg_C
7,10,2023,11:00:44 PM,26.8,27.3,25.9,deg_C
7,10,2023,10:40:44 PM,27.1,27.5,25.9,deg_C
7,10,2023,10:20:44 PM,27.4,27.6,25.9,deg_C
7,10,2023,10:00:44 PM,27.7,27.7,25.9,deg_C
7,10,2023,9:40:44 PM,28.1,27.8,25.9,deg_C
7,10,2023,9:20:45 PM,28.5,27.9,25.8,deg_C
7,10,2023,9:00:44 PM,28.9,28,25.8,deg_C
