date,createdAt,timestamp,context,value
2023-10-17 15:36:35.830000-05:00,1697575026895,1697574995830,{},5.12
2023-10-17 15:26:35.547000-05:00,1697574500329,1697574395547,{},4.12
2023-10-17 15:16:32.934000-05:00,1697573884522,1697573792934,{},4.92
2023-10-17 15:06:34.023000-05:00,1697573225991,1697573194023,{},4.59
2023-10-17 14:56:34.775000-05:00,1697572721718,1697572594775,{},3.96
2023-10-17 14:46:36.418000-05:00,1697572093096,1697571996418,{},4.47
2023-10-17 14:36:31.341000-05:00,1697571411210,1697571391341,{},3.91
2023-10-17 14:26:30.869000-05:00,1697570894332,1697570790869,{},3.62
2023-10-17 14:16:37.117000-05:00,1697570283230,1697570197117,{},3.42
2023-10-17 14:06:34.250000-05:00,1697569626335,1697569594250,{},3.13
2023-10-17 13:56:36.743000-05:00,1697569004972,1697568996743,{},3.69
2023-10-17 13:46:31.503000-05:00,1697568483496,1697568391503,{},2.64
2023-10-17 13:36:36.873000-05:00,1697567866967,1697567796873,{},3.71
2023-10-17 13:26:38.203000-05:00,1697567276946,1697567198203,{},3.6
2023-10-17 13:16:34.783000-05:00,1697566670975,1697566594783,{},3.89
2023-10-17 13:06:34.523000-05:00,1697566113084,1697565994523,{},3.47
2023-10-17 12:56:36.433000-05:00,1697565499315,1697565396433,{},5.08
2023-10-17 12:46:35.473000-05:00,1697564897484,1697564795473,{},3.4
2023-10-17 12:36:30.957000-05:00,1697564296772,1697564190957,{},4.16
2023-10-17 12:26:35.233000-05:00,1697563603716,1697563595233,{},3.36
2023-10-17 12:16:33.369000-05:00,1697563086333,1697562993369,{},4.47
2023-10-17 12:06:34.301000-05:00,1697562445526,1697562394301,{},5.35
2023-10-17 11:56:38.854000-05:00,1697561938974,1697561798854,{},4.16
2023-10-17 11:46:38.602000-05:00,1697561321586,1697561198602,{},5.3
2023-10-17 11:36:34.489000-05:00,1697560675245,1697560594489,{},4.41
2023-10-17 11:26:34.545000-05:00,1697560045497,1697559994545,{},4.21
2023-10-17 11:16:36.519000-05:00,1697559548694,1697559396519,{},3.69
2023-10-17 11:06:37.546000-05:00,1697558882286,1697558797546,{},3.6
2023-10-17 10:56:32.053000-05:00,1697558232433,1697558192053,{},2.84
2023-10-17 10:46:37.813000-05:00,1697557612129,1697557597813,{},2.51
2023-10-17 10:36:38.180000-05:00,1697557122262,1697556998180,{},3.22
2023-10-17 10:26:32.763000-05:00,1697556479808,1697556392763,{},2.53
2023-10-17 10:16:31.743000-05:00,1697555860709,1697555791743,{},1.7
2023-10-17 10:06:37.014000-05:00,1697555217703,1697555197014,{},2.1
2023-10-17 09:56:34.383000-05:00,1697554653862,1697554594383,{},1.92
