date,createdAt,timestamp,context,value
2023-10-17 15:35:32.907000-05:00,1697574938847,1697574932907,{},14.8
2023-10-17 15:15:32.966000-05:00,1697573733413,1697573732966,{},14.8
2023-10-17 14:55:33.029000-05:00,1697572540369,1697572533029,{},14.8
2023-10-17 14:35:33.071000-05:00,1697571334933,1697571333071,{},14.6
2023-10-17 14:15:32.320000-05:00,1697570132773,1697570132320,{},14.4
2023-10-17 13:55:32.371000-05:00,1697568952160,1697568932371,{},14.3
2023-10-17 13:35:32.423000-05:00,1697567764793,1697567732423,{},14.0
2023-10-17 13:15:33.253000-05:00,1697566536904,1697566533253,{},13.6
2023-10-17 12:55:33.295000-05:00,1697565363563,1697565333295,{},13.3
2023-10-17 12:35:33.351000-05:00,1697564144166,1697564133351,{},12.8
2023-10-17 12:15:33.178000-05:00,1697562963387,1697562933178,{},12.3
2023-10-17 11:55:33.462000-05:00,1697561771885,1697561733462,{},11.7
2023-10-17 11:35:33.500000-05:00,1697560534567,1697560533500,{},11.2
2023-10-17 11:15:32.740000-05:00,1697559333279,1697559332740,{},10.7
2023-10-17 10:55:32.794000-05:00,1697558136732,1697558132794,{},10.1
2023-10-17 10:35:33.604000-05:00,1697556952549,1697556933604,{},9.6
2023-10-17 10:15:32.894000-05:00,1697555756380,1697555732894,{},9.1
2023-10-17 09:55:32.909000-05:00,1697554534282,1697554532909,{},8.8
2023-10-17 09:35:32.960000-05:00,1697553378485,1697553332960,{},8.5
2023-10-17 09:15:32.982000-05:00,1697552134430,1697552132982,{},8.1
2023-10-17 08:55:33.022000-05:00,1697550934377,1697550933022,{},7.9
2023-10-17 08:35:33.072000-05:00,1697549747669,1697549733072,{},7.6
2023-10-17 08:15:33.090000-05:00,1697548535600,1697548533090,{},7.5
2023-10-17 07:55:33.138000-05:00,1697547389666,1697547333138,{},7.5
2023-10-17 07:35:33.132000-05:00,1697546133610,1697546133132,{},7.5
2023-10-17 07:15:33.172000-05:00,1697544933688,1697544933172,{},7.6
2023-10-17 06:55:33.188000-05:00,1697543740686,1697543733188,{},7.6
2023-10-17 06:35:33.192000-05:00,1697542547972,1697542533192,{},7.7
2023-10-17 06:15:33.232000-05:00,1697541338599,1697541333232,{},7.8
2023-10-17 05:55:33.232000-05:00,1697540134061,1697540133232,{},7.8
2023-10-17 05:35:33.242000-05:00,1697538951089,1697538933242,{},7.9
2023-10-17 05:15:33.272000-05:00,1697537739525,1697537733272,{},8.0
2023-10-17 04:55:33.293000-05:00,1697536533715,1697536533293,{},8.0
2023-10-17 04:35:33.315000-05:00,1697535345981,1697535333315,{},8.1
2023-10-17 04:15:33.323000-05:00,1697534133928,1697534133323,{},8.2
2023-10-17 03:55:33.345000-05:00,1697532933865,1697532933345,{},8.3
